# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,7.482983333333334031e+01,7.498099999999999454e+01,5.046498775482177734e-01,5.030561685562133789e-01
2.000000000000000000e+00,7.571399999999999864e+01,7.577400000000000091e+01,4.877910017967224121e-01,4.857047200202941895e-01
3.000000000000000000e+00,7.607599999999999341e+01,7.625799999999999557e+01,4.810820817947387695e-01,4.788112640380859375e-01
4.000000000000000000e+00,7.636650000000000205e+01,7.652299999999999613e+01,4.760334491729736328e-01,4.738544523715972900e-01
5.000000000000000000e+00,7.679883333333333439e+01,7.690999999999999659e+01,4.702446758747100830e-01,4.676033854484558105e-01
6.000000000000000000e+00,7.717816666666666947e+01,7.733100000000000307e+01,4.620772898197174072e-01,4.593718647956848145e-01
7.000000000000000000e+00,7.754550000000000409e+01,7.766599999999999682e+01,4.560741186141967773e-01,4.539276361465454102e-01
8.000000000000000000e+00,7.771533333333333360e+01,7.787399999999999523e+01,4.527422487735748291e-01,4.505416154861450195e-01
9.000000000000000000e+00,7.779266666666666197e+01,7.791299999999999670e+01,4.528062045574188232e-01,4.507168531417846680e-01
1.000000000000000000e+01,7.825166666666666515e+01,7.838500000000000512e+01,4.441688060760498047e-01,4.424469172954559326e-01
1.100000000000000000e+01,7.846633333333333837e+01,7.860200000000000387e+01,4.409129023551940918e-01,4.392940402030944824e-01
1.200000000000000000e+01,7.873633333333333439e+01,7.883199999999999363e+01,4.363031685352325439e-01,4.355403780937194824e-01
1.300000000000000000e+01,7.940333333333333599e+01,7.939300000000000068e+01,4.262521564960479736e-01,4.260960817337036133e-01
1.400000000000000000e+01,8.024349999999999739e+01,8.019499999999999318e+01,4.135223031044006348e-01,4.151635468006134033e-01
1.500000000000000000e+01,8.148983333333333690e+01,8.126800000000000068e+01,3.939945697784423828e-01,3.986442387104034424e-01
1.600000000000000000e+01,8.407366666666666788e+01,8.379699999999999704e+01,3.515520989894866943e-01,3.596240282058715820e-01
1.700000000000000000e+01,8.592616666666665992e+01,8.541500000000000625e+01,3.181931078433990479e-01,3.297119736671447754e-01
1.800000000000000000e+01,8.774649999999999750e+01,8.688800000000000523e+01,2.844872772693634033e-01,3.001891076564788818e-01
1.900000000000000000e+01,8.894366666666667243e+01,8.782099999999999795e+01,2.602717578411102295e-01,2.823054194450378418e-01
2.000000000000000000e+01,9.035550000000000637e+01,8.843099999999999739e+01,2.315283566713333130e-01,2.682631909847259521e-01
