# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,5.770904761904761671e+01,5.772857142857142776e+01,6.986408829689025879e-01,7.000328302383422852e-01
2.000000000000000000e+00,5.780119047619047734e+01,5.773142857142857309e+01,6.938413381576538086e-01,6.953390240669250488e-01
3.000000000000000000e+00,5.783595238095237789e+01,5.777714285714285580e+01,6.902970075607299805e-01,6.917270421981811523e-01
4.000000000000000000e+00,5.786238095238095269e+01,5.781857142857143117e+01,6.874069571495056152e-01,6.887235045433044434e-01
5.000000000000000000e+00,5.791952380952380963e+01,5.792142857142857082e+01,6.851426362991333008e-01,6.862642765045166016e-01
6.000000000000000000e+00,5.794857142857142662e+01,5.796857142857142975e+01,6.841806173324584961e-01,6.850399374961853027e-01
7.000000000000000000e+00,5.796714285714286063e+01,5.793142857142856883e+01,6.818873286247253418e-01,6.826254725456237793e-01
8.000000000000000000e+00,5.799452380952381247e+01,5.800571428571428356e+01,6.813665628433227539e-01,6.814998388290405273e-01
9.000000000000000000e+00,5.796476190476190737e+01,5.796142857142856997e+01,6.798823475837707520e-01,6.804150938987731934e-01
1.000000000000000000e+01,5.802690476190475977e+01,5.796714285714286063e+01,6.792009472846984863e-01,6.796489357948303223e-01
1.100000000000000000e+01,5.803309523809523540e+01,5.796285714285714619e+01,6.787323951721191406e-01,6.790098547935485840e-01
1.200000000000000000e+01,5.800928571428571701e+01,5.790142857142857480e+01,6.783427596092224121e-01,6.787356734275817871e-01
1.300000000000000000e+01,5.797119047619047905e+01,5.795142857142857196e+01,6.780251860618591309e-01,6.783192157745361328e-01
1.400000000000000000e+01,5.795142857142857196e+01,5.794571428571428839e+01,6.778665184974670410e-01,6.781695485115051270e-01
1.500000000000000000e+01,5.794190476190475891e+01,5.792000000000000171e+01,6.778011918067932129e-01,6.779918074607849121e-01
1.600000000000000000e+01,5.796809523809523768e+01,5.793285714285714505e+01,6.775397658348083496e-01,6.777827739715576172e-01
1.700000000000000000e+01,5.796476190476190737e+01,5.791714285714285637e+01,6.774497628211975098e-01,6.776922345161437988e-01
1.800000000000000000e+01,5.797071428571428697e+01,5.788571428571428612e+01,6.773928999900817871e-01,6.776242256164550781e-01
1.900000000000000000e+01,5.796190476190476204e+01,5.788571428571428612e+01,6.773482561111450195e-01,6.775724291801452637e-01
2.000000000000000000e+01,5.795309523809523711e+01,5.788714285714285523e+01,6.773228049278259277e-01,6.775510311126708984e-01
2.100000000000000000e+01,5.795571428571428640e+01,5.787571428571428811e+01,6.773048639297485352e-01,6.775354743003845215e-01
2.200000000000000000e+01,5.795214285714286007e+01,5.785285714285713965e+01,6.772907376289367676e-01,6.775299906730651855e-01
2.300000000000000000e+01,5.796976190476190283e+01,5.785857142857143032e+01,6.772643923759460449e-01,6.775178313255310059e-01
2.400000000000000000e+01,5.796714285714286063e+01,5.784285714285714164e+01,6.772468686103820801e-01,6.775093078613281250e-01
2.500000000000000000e+01,5.796119047619047393e+01,5.784571428571428697e+01,6.772298812866210938e-01,6.775041818618774414e-01
2.600000000000000000e+01,5.796809523809523768e+01,5.784714285714285609e+01,6.772170066833496094e-01,6.775068640708923340e-01
2.700000000000000000e+01,5.796738095238094957e+01,5.783428571428571274e+01,6.772328615188598633e-01,6.775540113449096680e-01
