# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,7.256444444444444741e+01,7.268555555555555259e+01,6.057297587394714355e-01,6.056144237518310547e-01
2.000000000000000000e+00,7.310388888888888914e+01,7.310999999999999943e+01,5.956669449806213379e-01,5.961192846298217773e-01
3.000000000000000000e+00,7.321962962962963672e+01,7.320111111111111768e+01,5.883996486663818359e-01,5.884972214698791504e-01
4.000000000000000000e+00,7.385314814814815065e+01,7.377666666666667084e+01,5.780196785926818848e-01,5.784051418304443359e-01
5.000000000000000000e+00,7.412518518518518817e+01,7.396888888888888403e+01,5.705782771110534668e-01,5.714301466941833496e-01
6.000000000000000000e+00,7.472444444444444400e+01,7.473000000000000398e+01,5.607047677040100098e-01,5.618084669113159180e-01
7.000000000000000000e+00,7.425462962962963331e+01,7.436444444444444457e+01,5.589050054550170898e-01,5.593880414962768555e-01
8.000000000000000000e+00,7.496074074074074645e+01,7.494111111111111256e+01,5.496637225151062012e-01,5.503246784210205078e-01
9.000000000000000000e+00,7.552537037037036782e+01,7.548000000000000398e+01,5.409081578254699707e-01,5.418041944503784180e-01
1.000000000000000000e+01,7.578777777777777658e+01,7.565666666666666629e+01,5.336771011352539062e-01,5.351058244705200195e-01
1.100000000000000000e+01,7.575685185185184878e+01,7.565888888888889596e+01,5.305050611495971680e-01,5.320800542831420898e-01
1.200000000000000000e+01,7.618037037037036896e+01,7.597333333333332916e+01,5.224816799163818359e-01,5.245631337165832520e-01
1.300000000000000000e+01,7.576574074074073906e+01,7.567111111111111654e+01,5.224207639694213867e-01,5.243179798126220703e-01
1.400000000000000000e+01,7.648314814814814611e+01,7.625666666666666060e+01,5.124296545982360840e-01,5.146592855453491211e-01
1.500000000000000000e+01,7.662333333333333485e+01,7.644111111111111256e+01,5.078846812248229980e-01,5.104339122772216797e-01
1.600000000000000000e+01,7.579796296296296987e+01,7.572888888888888914e+01,5.133481025695800781e-01,5.152771472930908203e-01
1.700000000000000000e+01,7.713370370370370210e+01,7.673666666666666458e+01,4.980720579624176025e-01,5.011143088340759277e-01
1.800000000000000000e+01,7.730944444444443775e+01,7.696444444444443889e+01,4.939914941787719727e-01,4.979038536548614502e-01
1.900000000000000000e+01,7.756907407407408073e+01,7.717000000000000171e+01,4.891058504581451416e-01,4.938137531280517578e-01
2.000000000000000000e+01,7.800666666666666060e+01,7.749555555555555486e+01,4.829602241516113281e-01,4.889184534549713135e-01
2.100000000000000000e+01,7.819407407407408073e+01,7.754777777777778169e+01,4.800275564193725586e-01,4.870473146438598633e-01
2.200000000000000000e+01,7.829629629629629051e+01,7.763444444444444059e+01,4.773240089416503906e-01,4.852811694145202637e-01
2.300000000000000000e+01,7.847703703703703582e+01,7.763111111111111029e+01,4.745694100856781006e-01,4.835561811923980713e-01
2.400000000000000000e+01,7.839685185185184935e+01,7.764888888888889085e+01,4.735881686210632324e-01,4.821709394454956055e-01
2.500000000000000000e+01,7.858814814814815009e+01,7.774555555555555486e+01,4.703660011291503906e-01,4.800532162189483643e-01
2.600000000000000000e+01,7.892111111111111654e+01,7.789111111111111541e+01,4.664354026317596436e-01,4.779992699623107910e-01
2.700000000000000000e+01,7.908925925925926492e+01,7.795000000000000284e+01,4.633912742137908936e-01,4.758140742778778076e-01
2.800000000000000000e+01,7.863851851851852359e+01,7.768777777777778226e+01,4.670339822769165039e-01,4.764985442161560059e-01
2.900000000000000000e+01,7.908407407407406708e+01,7.801222222222222058e+01,4.615846872329711914e-01,4.732661545276641846e-01
3.000000000000000000e+01,7.951592592592592723e+01,7.824444444444444002e+01,4.565466642379760742e-01,4.702118635177612305e-01
