# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,7.491683333333332939e+01,7.511799999999999500e+01,5.704689621925354004e-01,5.696842670440673828e-01
2.000000000000000000e+00,7.512966666666666526e+01,7.524599999999999511e+01,5.615442991256713867e-01,5.604303479194641113e-01
3.000000000000000000e+00,7.563416666666667254e+01,7.559699999999999420e+01,5.506034493446350098e-01,5.496984720230102539e-01
4.000000000000000000e+00,7.602666666666667084e+01,7.605299999999999727e+01,5.418495535850524902e-01,5.410075187683105469e-01
5.000000000000000000e+00,7.642600000000000193e+01,7.651600000000000534e+01,5.325109958648681641e-01,5.317781567573547363e-01
6.000000000000000000e+00,7.667833333333332746e+01,7.682399999999999807e+01,5.253816843032836914e-01,5.244810581207275391e-01
7.000000000000000000e+00,7.697899999999999920e+01,7.706600000000000250e+01,5.180560946464538574e-01,5.174034833908081055e-01
8.000000000000000000e+00,7.627933333333332655e+01,7.639300000000000068e+01,5.195307135581970215e-01,5.186873078346252441e-01
9.000000000000000000e+00,7.699599999999999511e+01,7.710399999999999920e+01,5.090309381484985352e-01,5.081842541694641113e-01
1.000000000000000000e+01,7.730299999999999727e+01,7.731499999999999773e+01,5.023601055145263672e-01,5.017766952514648438e-01
1.100000000000000000e+01,7.732516666666666083e+01,7.733299999999999841e+01,4.986215531826019287e-01,4.978422522544860840e-01
1.200000000000000000e+01,7.747916666666667140e+01,7.753499999999999659e+01,4.932252168655395508e-01,4.926731586456298828e-01
1.300000000000000000e+01,7.761199999999999477e+01,7.764300000000000068e+01,4.891482293605804443e-01,4.889308810234069824e-01
1.400000000000000000e+01,7.772133333333333383e+01,7.777500000000000568e+01,4.848895370960235596e-01,4.848600327968597412e-01
1.500000000000000000e+01,7.779816666666665981e+01,7.771699999999999875e+01,4.816540181636810303e-01,4.818958342075347900e-01
1.600000000000000000e+01,7.765550000000000352e+01,7.767600000000000193e+01,4.806905686855316162e-01,4.804288148880004883e-01
1.700000000000000000e+01,7.799766666666666026e+01,7.789100000000000534e+01,4.749566018581390381e-01,4.753002226352691650e-01
1.800000000000000000e+01,7.825466666666666526e+01,7.819100000000000250e+01,4.700287878513336182e-01,4.709914326667785645e-01
1.900000000000000000e+01,7.796533333333333360e+01,7.805500000000000682e+01,4.715061485767364502e-01,4.713976979255676270e-01
2.000000000000000000e+01,7.847050000000000125e+01,7.849299999999999500e+01,4.643689990043640137e-01,4.651283621788024902e-01
2.100000000000000000e+01,7.859950000000000614e+01,7.854600000000000648e+01,4.619353115558624268e-01,4.630258083343505859e-01
2.200000000000000000e+01,7.865416666666666856e+01,7.862600000000000477e+01,4.599892795085906982e-01,4.615545272827148438e-01
2.300000000000000000e+01,7.889766666666666595e+01,7.878700000000000614e+01,4.565857350826263428e-01,4.587095081806182861e-01
2.400000000000000000e+01,7.897950000000000159e+01,7.883499999999999375e+01,4.545823037624359131e-01,4.568943977355957031e-01
2.500000000000000000e+01,7.915466666666667095e+01,7.888800000000000523e+01,4.517992734909057617e-01,4.549085795879364014e-01
2.600000000000000000e+01,7.922883333333332700e+01,7.901000000000000512e+01,4.497539103031158447e-01,4.534316956996917725e-01
2.700000000000000000e+01,7.928050000000000352e+01,7.911799999999999500e+01,4.484355151653289795e-01,4.516961574554443359e-01
2.800000000000000000e+01,7.957066666666666777e+01,7.936199999999999477e+01,4.445717632770538330e-01,4.484596848487854004e-01
2.900000000000000000e+01,7.971683333333332655e+01,7.944899999999999807e+01,4.418692588806152344e-01,4.465925693511962891e-01
3.000000000000000000e+01,8.009050000000000580e+01,7.965000000000000568e+01,4.372933208942413330e-01,4.440132677555084229e-01
3.100000000000000000e+01,8.020366666666666333e+01,7.974099999999999966e+01,4.355216622352600098e-01,4.430974125862121582e-01
3.200000000000000000e+01,8.027533333333333587e+01,7.971599999999999397e+01,4.340253174304962158e-01,4.423520565032958984e-01
3.300000000000000000e+01,8.039933333333333110e+01,7.973799999999999955e+01,4.320513606071472168e-01,4.411669373512268066e-01
3.400000000000000000e+01,8.048799999999999955e+01,7.988200000000000500e+01,4.303789436817169189e-01,4.402389228343963623e-01
3.500000000000000000e+01,8.052066666666667061e+01,7.986199999999999477e+01,4.289816021919250488e-01,4.394940137863159180e-01
3.600000000000000000e+01,8.065200000000000102e+01,8.001500000000000057e+01,4.276407659053802490e-01,4.378649592399597168e-01
3.700000000000000000e+01,8.068349999999999511e+01,8.003000000000000114e+01,4.267822206020355225e-01,4.374094009399414062e-01
3.800000000000000000e+01,8.093049999999999500e+01,8.018300000000000693e+01,4.235996007919311523e-01,4.352415800094604492e-01
3.900000000000000000e+01,8.102916666666666856e+01,8.019100000000000250e+01,4.219976365566253662e-01,4.346364736557006836e-01
4.000000000000000000e+01,8.149516666666666254e+01,8.052200000000000557e+01,4.171560406684875488e-01,4.317285716533660889e-01
4.100000000000000000e+01,8.160683333333332712e+01,8.058899999999999864e+01,4.157027900218963623e-01,4.310128390789031982e-01
4.200000000000000000e+01,8.171566666666666379e+01,8.062300000000000466e+01,4.140135347843170166e-01,4.300102293491363525e-01
4.300000000000000000e+01,8.183599999999999852e+01,8.060800000000000409e+01,4.124301075935363770e-01,4.292219281196594238e-01
4.400000000000000000e+01,8.178249999999999886e+01,8.065099999999999625e+01,4.123004376888275146e-01,4.290511310100555420e-01
4.500000000000000000e+01,8.198366666666666447e+01,8.072499999999999432e+01,4.101265668869018555e-01,4.284207820892333984e-01
4.600000000000000000e+01,8.208400000000000318e+01,8.071800000000000352e+01,4.088557660579681396e-01,4.276482760906219482e-01
4.700000000000000000e+01,8.202949999999999875e+01,8.071500000000000341e+01,4.086742997169494629e-01,4.273635149002075195e-01
4.800000000000000000e+01,8.215049999999999386e+01,8.085500000000000398e+01,4.069378972053527832e-01,4.264493286609649658e-01
