# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,7.470916666666666117e+01,7.479999999999999716e+01,5.089962482452392578e-01,5.075349211692810059e-01
2.000000000000000000e+00,7.525433333333333508e+01,7.540399999999999636e+01,4.984473288059234619e-01,4.974468648433685303e-01
3.000000000000000000e+00,7.582166666666667254e+01,7.586599999999999966e+01,4.895795881748199463e-01,4.887826740741729736e-01
4.000000000000000000e+00,7.614749999999999375e+01,7.619199999999999307e+01,4.845196902751922607e-01,4.842260479927062988e-01
5.000000000000000000e+00,7.646699999999999875e+01,7.654800000000000182e+01,4.766366183757781982e-01,4.764267504215240479e-01
6.000000000000000000e+00,7.671399999999999864e+01,7.666100000000000136e+01,4.718722403049468994e-01,4.724293649196624756e-01
7.000000000000000000e+00,7.704816666666665981e+01,7.701399999999999579e+01,4.655510485172271729e-01,4.661893546581268311e-01
8.000000000000000000e+00,7.732116666666667015e+01,7.724299999999999500e+01,4.609247446060180664e-01,4.621593952178955078e-01
9.000000000000000000e+00,7.767483333333333917e+01,7.764400000000000546e+01,4.556240141391754150e-01,4.566761851310729980e-01
1.000000000000000000e+01,7.782616666666666561e+01,7.773399999999999466e+01,4.523002207279205322e-01,4.536271095275878906e-01
1.100000000000000000e+01,7.814566666666667061e+01,7.809099999999999397e+01,4.481623470783233643e-01,4.501615166664123535e-01
1.200000000000000000e+01,7.828449999999999420e+01,7.817600000000000193e+01,4.451687932014465332e-01,4.477861225605010986e-01
1.300000000000000000e+01,7.856116666666666504e+01,7.831199999999999761e+01,4.412231743335723877e-01,4.452028274536132812e-01
1.400000000000000000e+01,7.899983333333332780e+01,7.883700000000000330e+01,4.344762861728668213e-01,4.396367371082305908e-01
1.500000000000000000e+01,7.964233333333334031e+01,7.940699999999999648e+01,4.244794547557830811e-01,4.308983385562896729e-01
1.600000000000000000e+01,7.983216666666666583e+01,7.956900000000000261e+01,4.219610989093780518e-01,4.299705326557159424e-01
1.700000000000000000e+01,7.985200000000000387e+01,7.959499999999999886e+01,4.211375117301940918e-01,4.300091266632080078e-01
1.800000000000000000e+01,8.077833333333333599e+01,8.021500000000000341e+01,4.066125154495239258e-01,4.171352684497833252e-01
1.900000000000000000e+01,8.102716666666667322e+01,8.033299999999999841e+01,4.024153649806976318e-01,4.169835448265075684e-01
2.000000000000000000e+01,8.269683333333333053e+01,8.158199999999999363e+01,3.731957674026489258e-01,3.955166637897491455e-01
