# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,7.552366666666667072e+01,7.560699999999999932e+01,5.235576629638671875e-01,5.220123529434204102e-01
2.000000000000000000e+00,7.637983333333333746e+01,7.651200000000000045e+01,4.937704205513000488e-01,4.921794533729553223e-01
3.000000000000000000e+00,7.699433333333332996e+01,7.705599999999999739e+01,4.770826101303100586e-01,4.755734503269195557e-01
4.000000000000000000e+00,7.748366666666666447e+01,7.762600000000000477e+01,4.662321209907531738e-01,4.651561081409454346e-01
5.000000000000000000e+00,7.778849999999999909e+01,7.782599999999999341e+01,4.597021341323852539e-01,4.588578641414642334e-01
6.000000000000000000e+00,7.801449999999999818e+01,7.800199999999999534e+01,4.554410278797149658e-01,4.556931257247924805e-01
7.000000000000000000e+00,7.808783333333333587e+01,7.812300000000000466e+01,4.537508189678192139e-01,4.546266794204711914e-01
8.000000000000000000e+00,7.824733333333333007e+01,7.821399999999999864e+01,4.519602656364440918e-01,4.530756175518035889e-01
9.000000000000000000e+00,7.855266666666666708e+01,7.851099999999999568e+01,4.468542635440826416e-01,4.487378299236297607e-01
1.000000000000000000e+01,7.866249999999999432e+01,7.865500000000000114e+01,4.451443254947662354e-01,4.476387798786163330e-01
1.100000000000000000e+01,7.882899999999999352e+01,7.870900000000000318e+01,4.431537091732025146e-01,4.466084241867065430e-01
1.200000000000000000e+01,7.884916666666666174e+01,7.878499999999999659e+01,4.430577456951141357e-01,4.472979903221130371e-01
1.300000000000000000e+01,7.895366666666666333e+01,7.876999999999999602e+01,4.406708776950836182e-01,4.455567896366119385e-01
1.400000000000000000e+01,7.913566666666666549e+01,7.892700000000000671e+01,4.376097917556762695e-01,4.431948959827423096e-01
1.500000000000000000e+01,7.924316666666666720e+01,7.901000000000000512e+01,4.356172978878021240e-01,4.414816796779632568e-01
1.600000000000000000e+01,7.938316666666666777e+01,7.907500000000000284e+01,4.331140816211700439e-01,4.403085410594940186e-01
1.700000000000000000e+01,7.937666666666666515e+01,7.904699999999999704e+01,4.330714941024780273e-01,4.395482242107391357e-01
