# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,7.472350000000000136e+01,7.485899999999999466e+01,5.657873153686523438e-01,5.646238327026367188e-01
2.000000000000000000e+00,7.545666666666666345e+01,7.553199999999999648e+01,5.485282540321350098e-01,5.473351478576660156e-01
3.000000000000000000e+00,7.570116666666666561e+01,7.577100000000000080e+01,5.359398126602172852e-01,5.347242951393127441e-01
4.000000000000000000e+00,7.602716666666667322e+01,7.615000000000000568e+01,5.253511071205139160e-01,5.241312980651855469e-01
5.000000000000000000e+00,7.637500000000000000e+01,7.649099999999999966e+01,5.153999328613281250e-01,5.139138698577880859e-01
6.000000000000000000e+00,7.669133333333333269e+01,7.676099999999999568e+01,5.055720210075378418e-01,5.042944550514221191e-01
7.000000000000000000e+00,7.697883333333332700e+01,7.710200000000000387e+01,4.965157210826873779e-01,4.954586625099182129e-01
8.000000000000000000e+00,7.706833333333332803e+01,7.715200000000000102e+01,4.913663566112518311e-01,4.901273846626281738e-01
9.000000000000000000e+00,7.711799999999999500e+01,7.725000000000000000e+01,4.860137403011322021e-01,4.848253428936004639e-01
1.000000000000000000e+01,7.724850000000000705e+01,7.733499999999999375e+01,4.803894758224487305e-01,4.795608520507812500e-01
1.100000000000000000e+01,7.741899999999999693e+01,7.741299999999999670e+01,4.758601486682891846e-01,4.752785861492156982e-01
1.200000000000000000e+01,7.737600000000000477e+01,7.739700000000000557e+01,4.737232923507690430e-01,4.731427133083343506e-01
1.300000000000000000e+01,7.754366666666666674e+01,7.758100000000000307e+01,4.695422351360321045e-01,4.692836105823516846e-01
1.400000000000000000e+01,7.730949999999999989e+01,7.729200000000000159e+01,4.730562567710876465e-01,4.727138876914978027e-01
1.500000000000000000e+01,7.763299999999999557e+01,7.763899999999999579e+01,4.663842618465423584e-01,4.661201834678649902e-01
1.600000000000000000e+01,7.775466666666666526e+01,7.770600000000000307e+01,4.638734459877014160e-01,4.640320241451263428e-01
1.700000000000000000e+01,7.774433333333332996e+01,7.780400000000000205e+01,4.632042646408081055e-01,4.629744291305541992e-01
1.800000000000000000e+01,7.786883333333332757e+01,7.780599999999999739e+01,4.608514010906219482e-01,4.611973762512207031e-01
1.900000000000000000e+01,7.800849999999999795e+01,7.794299999999999784e+01,4.584516584873199463e-01,4.590102136135101318e-01
2.000000000000000000e+01,7.806116666666666504e+01,7.796899999999999409e+01,4.568689167499542236e-01,4.577481150627136230e-01
2.100000000000000000e+01,7.826949999999999363e+01,7.818200000000000216e+01,4.537781178951263428e-01,4.552418887615203857e-01
2.200000000000000000e+01,7.842116666666666447e+01,7.834499999999999886e+01,4.511785507202148438e-01,4.531462490558624268e-01
