# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,7.466766666666666197e+01,7.478600000000000136e+01,5.070955753326416016e-01,5.054671168327331543e-01
2.000000000000000000e+00,7.468766666666667220e+01,7.482599999999999341e+01,5.060178041458129883e-01,5.045604705810546875e-01
3.000000000000000000e+00,7.465949999999999420e+01,7.479399999999999693e+01,5.058326721191406250e-01,5.042292475700378418e-01
4.000000000000000000e+00,7.461700000000000443e+01,7.476800000000000068e+01,5.052634477615356445e-01,5.037853717803955078e-01
5.000000000000000000e+00,7.469299999999999784e+01,7.483400000000000318e+01,5.053676962852478027e-01,5.038287639617919922e-01
6.000000000000000000e+00,7.473533333333332962e+01,7.485699999999999932e+01,5.043089389801025391e-01,5.028578639030456543e-01
7.000000000000000000e+00,7.478633333333333155e+01,7.496699999999999875e+01,5.044696927070617676e-01,5.029758810997009277e-01
8.000000000000000000e+00,7.472066666666667345e+01,7.488299999999999557e+01,5.039479732513427734e-01,5.025350451469421387e-01
9.000000000000000000e+00,7.467933333333333223e+01,7.484399999999999409e+01,5.047054886817932129e-01,5.032352209091186523e-01
1.000000000000000000e+01,7.471633333333333837e+01,7.485899999999999466e+01,5.043672919273376465e-01,5.029318928718566895e-01
1.100000000000000000e+01,7.476766666666667049e+01,7.492700000000000671e+01,5.036139488220214844e-01,5.021278858184814453e-01
1.200000000000000000e+01,7.474250000000000682e+01,7.488599999999999568e+01,5.043568611145019531e-01,5.027483105659484863e-01
1.300000000000000000e+01,7.475666666666666060e+01,7.492400000000000659e+01,5.035555958747863770e-01,5.019777417182922363e-01
1.400000000000000000e+01,7.474500000000000455e+01,7.488800000000000523e+01,5.036050677299499512e-01,5.020846128463745117e-01
1.500000000000000000e+01,7.475799999999999557e+01,7.492900000000000205e+01,5.038428902626037598e-01,5.023090243339538574e-01
1.600000000000000000e+01,7.474316666666666720e+01,7.488200000000000500e+01,5.040146112442016602e-01,5.024209022521972656e-01
1.700000000000000000e+01,7.478116666666666390e+01,7.495399999999999352e+01,5.036028623580932617e-01,5.021324753761291504e-01
1.800000000000000000e+01,7.479883333333333439e+01,7.500300000000000011e+01,5.034399628639221191e-01,5.018692612648010254e-01
1.900000000000000000e+01,7.477366666666667072e+01,7.490600000000000591e+01,5.040997266769409180e-01,5.024821162223815918e-01
2.000000000000000000e+01,7.478199999999999648e+01,7.493800000000000239e+01,5.036334395408630371e-01,5.020643472671508789e-01
2.100000000000000000e+01,7.477049999999999841e+01,7.494799999999999329e+01,5.041263699531555176e-01,5.024992823600769043e-01
2.200000000000000000e+01,7.476833333333333087e+01,7.492199999999999704e+01,5.044793486595153809e-01,5.027779340744018555e-01
2.300000000000000000e+01,7.479749999999999943e+01,7.495000000000000284e+01,5.038878321647644043e-01,5.021808743476867676e-01
2.400000000000000000e+01,7.480066666666667174e+01,7.492600000000000193e+01,5.032956600189208984e-01,5.017031431198120117e-01
2.500000000000000000e+01,7.478066666666666151e+01,7.495900000000000318e+01,5.036731958389282227e-01,5.020324587821960449e-01
2.600000000000000000e+01,7.479583333333333428e+01,7.496599999999999397e+01,5.034813284873962402e-01,5.018092989921569824e-01
2.700000000000000000e+01,7.478749999999999432e+01,7.494499999999999318e+01,5.034433007240295410e-01,5.017607808113098145e-01
2.800000000000000000e+01,7.482850000000000534e+01,7.494599999999999795e+01,5.030714273452758789e-01,5.014808177947998047e-01
2.900000000000000000e+01,7.479149999999999920e+01,7.498799999999999955e+01,5.038184523582458496e-01,5.021448731422424316e-01
3.000000000000000000e+01,7.485850000000000648e+01,7.505100000000000193e+01,5.027957558631896973e-01,5.012717247009277344e-01
3.100000000000000000e+01,7.488883333333333781e+01,7.505299999999999727e+01,5.024633407592773438e-01,5.008988380432128906e-01
3.200000000000000000e+01,7.487133333333333951e+01,7.501399999999999579e+01,5.023017525672912598e-01,5.007362365722656250e-01
3.300000000000000000e+01,7.480849999999999511e+01,7.498300000000000409e+01,5.030130743980407715e-01,5.014596581459045410e-01
3.400000000000000000e+01,7.488200000000000500e+01,7.502899999999999636e+01,5.024341940879821777e-01,5.008522272109985352e-01
3.500000000000000000e+01,7.487216666666667209e+01,7.504600000000000648e+01,5.022497773170471191e-01,5.005879402160644531e-01
3.600000000000000000e+01,7.489883333333332871e+01,7.505599999999999739e+01,5.021112561225891113e-01,5.005254745483398438e-01
3.700000000000000000e+01,7.489133333333333553e+01,7.506399999999999295e+01,5.020557045936584473e-01,5.004194378852844238e-01
3.800000000000000000e+01,7.487749999999999773e+01,7.502200000000000557e+01,5.023894309997558594e-01,5.007719993591308594e-01
3.900000000000000000e+01,7.488266666666666538e+01,7.504000000000000625e+01,5.021790266036987305e-01,5.005897283554077148e-01
4.000000000000000000e+01,7.491766666666666197e+01,7.505599999999999739e+01,5.017272233963012695e-01,5.002728104591369629e-01
4.100000000000000000e+01,7.492616666666665992e+01,7.505700000000000216e+01,5.014863014221191406e-01,5.000172257423400879e-01
4.200000000000000000e+01,7.491533333333333644e+01,7.508700000000000330e+01,5.015145540237426758e-01,5.000573992729187012e-01
4.300000000000000000e+01,7.492566666666667174e+01,7.508599999999999852e+01,5.015000700950622559e-01,5.000795722007751465e-01
4.400000000000000000e+01,7.491599999999999682e+01,7.506900000000000261e+01,5.015721321105957031e-01,5.001007914543151855e-01
4.500000000000000000e+01,7.492633333333333212e+01,7.504200000000000159e+01,5.015069842338562012e-01,5.000706315040588379e-01
4.600000000000000000e+01,7.492449999999999477e+01,7.504300000000000637e+01,5.014816522598266602e-01,5.000463128089904785e-01
4.700000000000000000e+01,7.491533333333333644e+01,7.506799999999999784e+01,5.015532970428466797e-01,5.000916123390197754e-01
4.800000000000000000e+01,7.492350000000000421e+01,7.507099999999999795e+01,5.015788078308105469e-01,5.001183748245239258e-01
4.900000000000000000e+01,7.492033333333333189e+01,7.506999999999999318e+01,5.014159083366394043e-01,4.999449551105499268e-01
5.000000000000000000e+01,7.492400000000000659e+01,7.504200000000000159e+01,5.012553930282592773e-01,4.999080598354339600e-01
5.100000000000000000e+01,7.493983333333333974e+01,7.504200000000000159e+01,5.012070536613464355e-01,4.998634159564971924e-01
5.200000000000000000e+01,7.493783333333333019e+01,7.505299999999999727e+01,5.011699795722961426e-01,4.997610151767730713e-01
5.300000000000000000e+01,7.492549999999999955e+01,7.503499999999999659e+01,5.011630654335021973e-01,4.998044371604919434e-01
5.400000000000000000e+01,7.493766666666667220e+01,7.504399999999999693e+01,5.011929273605346680e-01,4.997632205486297607e-01
5.500000000000000000e+01,7.493349999999999511e+01,7.504999999999999716e+01,5.011640191078186035e-01,4.997858405113220215e-01
5.600000000000000000e+01,7.493649999999999523e+01,7.505899999999999750e+01,5.010920763015747070e-01,4.997282326221466064e-01
5.700000000000000000e+01,7.494666666666667254e+01,7.506799999999999784e+01,5.010771155357360840e-01,4.997176527976989746e-01
