# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,7.468566666666666265e+01,7.473799999999999955e+01,5.057998299598693848e-01,5.042445063591003418e-01
2.000000000000000000e+00,7.474816666666666265e+01,7.488500000000000512e+01,5.045967102050781250e-01,5.029426813125610352e-01
3.000000000000000000e+00,7.472233333333333860e+01,7.485200000000000387e+01,5.043300390243530273e-01,5.029062628746032715e-01
4.000000000000000000e+00,7.468899999999999295e+01,7.478400000000000603e+01,5.044632554054260254e-01,5.028655529022216797e-01
5.000000000000000000e+00,7.468883333333333496e+01,7.481300000000000239e+01,5.043778419494628906e-01,5.029020309448242188e-01
6.000000000000000000e+00,7.479966666666666697e+01,7.489900000000000091e+01,5.026341080665588379e-01,5.010718107223510742e-01
7.000000000000000000e+00,7.467116666666666447e+01,7.478600000000000136e+01,5.042703151702880859e-01,5.024325847625732422e-01
8.000000000000000000e+00,7.485133333333332928e+01,7.498699999999999477e+01,5.017253756523132324e-01,5.003924965858459473e-01
9.000000000000000000e+00,7.486683333333333223e+01,7.503100000000000591e+01,5.011168122291564941e-01,4.998015761375427246e-01
1.000000000000000000e+01,7.490049999999999386e+01,7.508799999999999386e+01,5.002693533897399902e-01,4.989673793315887451e-01
1.100000000000000000e+01,7.489633333333333098e+01,7.503900000000000148e+01,4.997984468936920166e-01,4.987646043300628662e-01
1.200000000000000000e+01,7.490783333333332905e+01,7.508499999999999375e+01,4.993451535701751709e-01,4.983231127262115479e-01
1.300000000000000000e+01,7.490883333333333383e+01,7.510299999999999443e+01,4.993532896041870117e-01,4.982294142246246338e-01
1.400000000000000000e+01,7.494266666666666765e+01,7.507099999999999795e+01,4.990031719207763672e-01,4.978847205638885498e-01
1.500000000000000000e+01,7.490916666666666401e+01,7.511499999999999488e+01,4.987158179283142090e-01,4.975261986255645752e-01
1.600000000000000000e+01,7.491416666666667368e+01,7.512999999999999545e+01,4.983123540878295898e-01,4.973112642765045166e-01
1.700000000000000000e+01,7.494750000000000512e+01,7.512500000000000000e+01,4.981171786785125732e-01,4.972546696662902832e-01
1.800000000000000000e+01,7.491583333333333883e+01,7.509900000000000375e+01,4.979027509689331055e-01,4.970677495002746582e-01
1.900000000000000000e+01,7.493083333333333940e+01,7.509499999999999886e+01,4.975213408470153809e-01,4.967313408851623535e-01
2.000000000000000000e+01,7.492050000000000409e+01,7.506199999999999761e+01,4.976024925708770752e-01,4.969291388988494873e-01
2.100000000000000000e+01,7.497299999999999898e+01,7.509199999999999875e+01,4.971612095832824707e-01,4.963765144348144531e-01
2.200000000000000000e+01,7.497566666666666890e+01,7.508400000000000318e+01,4.970057904720306396e-01,4.962617158889770508e-01
2.300000000000000000e+01,7.493800000000000239e+01,7.509999999999999432e+01,4.971715211868286133e-01,4.963795840740203857e-01
2.400000000000000000e+01,7.495516666666667049e+01,7.508499999999999375e+01,4.969487488269805908e-01,4.962947070598602295e-01
