# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,7.422866666666666902e+01,7.430400000000000205e+01,5.219184756278991699e-01,5.221403241157531738e-01
2.000000000000000000e+00,7.448416666666666686e+01,7.452800000000000580e+01,5.146548151969909668e-01,5.156683921813964844e-01
3.000000000000000000e+00,7.472066666666667345e+01,7.480599999999999739e+01,5.104476809501647949e-01,5.124629735946655273e-01
4.000000000000000000e+00,7.483383333333333098e+01,7.485999999999999943e+01,5.068138241767883301e-01,5.090113282203674316e-01
5.000000000000000000e+00,7.493049999999999500e+01,7.487300000000000466e+01,5.046739578247070312e-01,5.070936083793640137e-01
6.000000000000000000e+00,7.549233333333333462e+01,7.536299999999999955e+01,4.953766167163848877e-01,4.986212253570556641e-01
7.000000000000000000e+00,7.574049999999999727e+01,7.553499999999999659e+01,4.916960299015045166e-01,4.952769875526428223e-01
8.000000000000000000e+00,7.594333333333332803e+01,7.576099999999999568e+01,4.875917136669158936e-01,4.919625520706176758e-01
9.000000000000000000e+00,7.614249999999999829e+01,7.588100000000000023e+01,4.841485023498535156e-01,4.888497591018676758e-01
1.000000000000000000e+01,7.626466666666667038e+01,7.600499999999999545e+01,4.827294349670410156e-01,4.880081117153167725e-01
1.100000000000000000e+01,7.643766666666667220e+01,7.600799999999999557e+01,4.795263111591339111e-01,4.854573309421539307e-01
1.200000000000000000e+01,7.664583333333332860e+01,7.623499999999999943e+01,4.766596853733062744e-01,4.835430681705474854e-01
1.300000000000000000e+01,7.676333333333333542e+01,7.638500000000000512e+01,4.750296771526336670e-01,4.815893173217773438e-01
1.400000000000000000e+01,7.704133333333332700e+01,7.663400000000000034e+01,4.702119827270507812e-01,4.779727160930633545e-01
1.500000000000000000e+01,7.728266666666667106e+01,7.677899999999999636e+01,4.661842286586761475e-01,4.744600355625152588e-01
1.600000000000000000e+01,7.743816666666666038e+01,7.695799999999999841e+01,4.624025523662567139e-01,4.703267514705657959e-01
1.700000000000000000e+01,7.760550000000000637e+01,7.714900000000000091e+01,4.610571265220642090e-01,4.697345495223999023e-01
1.800000000000000000e+01,7.778749999999999432e+01,7.728100000000000591e+01,4.603503048419952393e-01,4.696585834026336670e-01
1.900000000000000000e+01,7.802183333333333337e+01,7.749500000000000455e+01,4.551008343696594238e-01,4.645695090293884277e-01
2.000000000000000000e+01,7.801866666666666106e+01,7.748900000000000432e+01,4.561918079853057861e-01,4.661794304847717285e-01
2.100000000000000000e+01,7.900283333333332791e+01,7.809199999999999875e+01,4.363013207912445068e-01,4.502131044864654541e-01
2.200000000000000000e+01,7.917900000000000205e+01,7.819299999999999784e+01,4.331337213516235352e-01,4.484384655952453613e-01
2.300000000000000000e+01,7.932933333333333792e+01,7.833199999999999363e+01,4.311166107654571533e-01,4.483981430530548096e-01
2.400000000000000000e+01,7.942683333333333451e+01,7.840800000000000125e+01,4.292174279689788818e-01,4.480995535850524902e-01
2.500000000000000000e+01,7.963016666666666765e+01,7.839900000000000091e+01,4.273599982261657715e-01,4.483752250671386719e-01
2.600000000000000000e+01,7.969033333333332791e+01,7.846699999999999875e+01,4.256639778614044189e-01,4.474949836730957031e-01
2.700000000000000000e+01,7.981550000000000011e+01,7.851200000000000045e+01,4.234316647052764893e-01,4.473806917667388916e-01
2.800000000000000000e+01,7.992633333333333212e+01,7.859799999999999898e+01,4.212806820869445801e-01,4.480898976325988770e-01
2.900000000000000000e+01,8.006116666666666504e+01,7.857399999999999807e+01,4.199090301990509033e-01,4.489879310131072998e-01
3.000000000000000000e+01,7.385716666666667152e+01,7.345399999999999352e+01,5.525216460227966309e-01,5.613917112350463867e-01
3.100000000000000000e+01,7.692983333333333462e+01,7.677100000000000080e+01,4.698945283889770508e-01,4.721849858760833740e-01
3.200000000000000000e+01,7.784149999999999636e+01,7.760599999999999454e+01,4.542330205440521240e-01,4.593435823917388916e-01
3.300000000000000000e+01,7.849583333333333712e+01,7.801300000000000523e+01,4.436923861503601074e-01,4.517292380332946777e-01
3.400000000000000000e+01,7.890183333333332882e+01,7.829099999999999682e+01,4.366855025291442871e-01,4.466812312602996826e-01
3.500000000000000000e+01,7.924566666666666492e+01,7.862800000000000011e+01,4.308581650257110596e-01,4.428265392780303955e-01
3.600000000000000000e+01,7.951933333333333564e+01,7.879500000000000171e+01,4.265317320823669434e-01,4.404978156089782715e-01
3.700000000000000000e+01,7.973083333333333655e+01,7.884799999999999898e+01,4.231369495391845703e-01,4.388669133186340332e-01
3.800000000000000000e+01,7.994016666666666993e+01,7.894100000000000250e+01,4.192926883697509766e-01,4.377204179763793945e-01
3.900000000000000000e+01,8.009900000000000375e+01,7.901000000000000512e+01,4.164384305477142334e-01,4.372389614582061768e-01
4.000000000000000000e+01,8.028533333333332678e+01,7.911400000000000432e+01,4.133934676647186279e-01,4.360196888446807861e-01
4.100000000000000000e+01,8.075266666666666993e+01,7.930800000000000693e+01,4.056297838687896729e-01,4.332928061485290527e-01
4.200000000000000000e+01,8.090166666666667084e+01,7.926900000000000546e+01,4.032497406005859375e-01,4.334545731544494629e-01
4.300000000000000000e+01,8.106900000000000261e+01,7.934499999999999886e+01,4.006672501564025879e-01,4.336524605751037598e-01
4.400000000000000000e+01,8.119366666666667243e+01,7.925799999999999557e+01,3.982335925102233887e-01,4.342476129531860352e-01
4.500000000000000000e+01,8.129316666666666436e+01,7.921699999999999875e+01,3.963400125503540039e-01,4.348851740360260010e-01
4.600000000000000000e+01,8.147950000000000159e+01,7.928499999999999659e+01,3.935351967811584473e-01,4.350837767124176025e-01
