# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,7.101433333333334019e+01,7.115600000000000591e+01,5.867261290550231934e-01,5.853846073150634766e-01
2.000000000000000000e+00,7.129683333333333906e+01,7.136899999999999977e+01,5.823374986648559570e-01,5.812250375747680664e-01
3.000000000000000000e+00,7.139733333333333576e+01,7.148000000000000398e+01,5.815683603286743164e-01,5.806321501731872559e-01
4.000000000000000000e+00,7.173916666666666231e+01,7.194599999999999795e+01,5.794304013252258301e-01,5.785604715347290039e-01
5.000000000000000000e+00,7.205583333333333940e+01,7.221099999999999852e+01,5.774760246276855469e-01,5.766201615333557129e-01
6.000000000000000000e+00,7.210183333333333167e+01,7.224399999999999977e+01,5.762657523155212402e-01,5.754988193511962891e-01
7.000000000000000000e+00,7.223099999999999454e+01,7.232899999999999352e+01,5.756186246871948242e-01,5.749102830886840820e-01
8.000000000000000000e+00,7.230249999999999488e+01,7.236599999999999966e+01,5.748699903488159180e-01,5.743542313575744629e-01
9.000000000000000000e+00,7.254399999999999693e+01,7.260399999999999920e+01,5.735431909561157227e-01,5.732809305191040039e-01
1.000000000000000000e+01,7.269849999999999568e+01,7.271200000000000330e+01,5.728999972343444824e-01,5.726851820945739746e-01
1.100000000000000000e+01,7.291849999999999454e+01,7.283299999999999841e+01,5.714916586875915527e-01,5.716701149940490723e-01
1.200000000000000000e+01,7.302416666666667311e+01,7.300600000000000023e+01,5.700880289077758789e-01,5.706259012222290039e-01
1.300000000000000000e+01,7.322116666666666163e+01,7.318699999999999761e+01,5.692723989486694336e-01,5.697823166847229004e-01
1.400000000000000000e+01,7.339400000000000546e+01,7.328400000000000603e+01,5.685030817985534668e-01,5.691555142402648926e-01
1.500000000000000000e+01,7.355700000000000216e+01,7.342700000000000671e+01,5.672041177749633789e-01,5.680098533630371094e-01
1.600000000000000000e+01,7.358533333333333815e+01,7.343899999999999295e+01,5.663781166076660156e-01,5.678018331527709961e-01
1.700000000000000000e+01,7.373566666666665981e+01,7.373499999999999943e+01,5.654917955398559570e-01,5.667850971221923828e-01
1.800000000000000000e+01,7.382033333333333758e+01,7.378100000000000591e+01,5.647838115692138672e-01,5.664356350898742676e-01
1.900000000000000000e+01,7.400350000000000250e+01,7.394599999999999795e+01,5.636014342308044434e-01,5.656355619430541992e-01
2.000000000000000000e+01,7.407800000000000296e+01,7.401000000000000512e+01,5.632982850074768066e-01,5.653320550918579102e-01
2.100000000000000000e+01,7.436816666666666720e+01,7.424099999999999966e+01,5.611331462860107422e-01,5.634006261825561523e-01
2.200000000000000000e+01,7.446733333333332894e+01,7.438400000000000034e+01,5.603387951850891113e-01,5.630427002906799316e-01
2.300000000000000000e+01,7.457200000000000273e+01,7.438500000000000512e+01,5.596584677696228027e-01,5.625635981559753418e-01
2.400000000000000000e+01,7.470000000000000284e+01,7.451999999999999602e+01,5.584399700164794922e-01,5.618020296096801758e-01
2.500000000000000000e+01,7.471516666666666140e+01,7.448000000000000398e+01,5.582546591758728027e-01,5.617113113403320312e-01
2.600000000000000000e+01,7.477633333333332644e+01,7.458199999999999363e+01,5.577252507209777832e-01,5.614248514175415039e-01
2.700000000000000000e+01,7.489116666666666333e+01,7.461899999999999977e+01,5.571025013923645020e-01,5.610632896423339844e-01
2.800000000000000000e+01,7.495683333333333564e+01,7.469899999999999807e+01,5.563964247703552246e-01,5.606428980827331543e-01
2.900000000000000000e+01,7.493800000000000239e+01,7.472100000000000364e+01,5.560278296470642090e-01,5.603024363517761230e-01
3.000000000000000000e+01,7.509550000000000125e+01,7.482899999999999352e+01,5.548382401466369629e-01,5.593037009239196777e-01
3.100000000000000000e+01,7.528050000000000352e+01,7.501900000000000546e+01,5.530812144279479980e-01,5.582482814788818359e-01
3.200000000000000000e+01,7.534850000000000136e+01,7.509199999999999875e+01,5.526375770568847656e-01,5.580357909202575684e-01
3.300000000000000000e+01,7.541283333333333871e+01,7.511700000000000443e+01,5.519124269485473633e-01,5.577454566955566406e-01
3.400000000000000000e+01,7.548916666666666231e+01,7.519700000000000273e+01,5.512917041778564453e-01,5.576427578926086426e-01
3.500000000000000000e+01,7.556799999999999784e+01,7.525300000000000011e+01,5.507693290710449219e-01,5.573561787605285645e-01
