# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,7.596708333333333485e+01,7.633625000000000682e+01,5.849751234054565430e-01,5.843216776847839355e-01
2.000000000000000000e+00,7.655687500000000512e+01,7.682125000000000625e+01,5.712153911590576172e-01,5.708581805229187012e-01
3.000000000000000000e+00,7.763708333333333655e+01,7.782250000000000512e+01,5.552666187286376953e-01,5.551683902740478516e-01
4.000000000000000000e+00,7.828562499999999602e+01,7.838375000000000625e+01,5.424280166625976562e-01,5.424796938896179199e-01
5.000000000000000000e+00,7.913104166666666117e+01,7.903374999999999773e+01,5.286112427711486816e-01,5.285658836364746094e-01
6.000000000000000000e+00,7.979104166666667197e+01,7.989249999999999829e+01,5.162402987480163574e-01,5.164910554885864258e-01
7.000000000000000000e+00,8.066187499999999488e+01,8.067624999999999602e+01,5.036700367927551270e-01,5.040150880813598633e-01
8.000000000000000000e+00,8.122750000000000625e+01,8.116625000000000512e+01,4.915837049484252930e-01,4.920805096626281738e-01
9.000000000000000000e+00,8.239395833333333030e+01,8.237125000000000341e+01,4.766128659248352051e-01,4.778938293457031250e-01
1.000000000000000000e+01,8.389416666666666345e+01,8.370999999999999375e+01,4.585055708885192871e-01,4.608125984668731689e-01
1.100000000000000000e+01,7.987333333333333485e+01,7.994124999999999659e+01,4.836800694465637207e-01,4.833285510540008545e-01
1.200000000000000000e+01,8.008374999999999488e+01,8.030124999999999602e+01,4.773972630500793457e-01,4.772271811962127686e-01
1.300000000000000000e+01,8.312166666666666970e+01,8.312125000000000341e+01,4.452428519725799561e-01,4.457687735557556152e-01
1.400000000000000000e+01,8.524520833333333769e+01,8.506374999999999886e+01,4.225144386291503906e-01,4.249784052371978760e-01
1.500000000000000000e+01,8.687708333333333144e+01,8.636875000000000568e+01,4.019732475280761719e-01,4.067041873931884766e-01
1.600000000000000000e+01,8.790416666666666856e+01,8.720874999999999488e+01,3.857114613056182861e-01,3.922744393348693848e-01
1.700000000000000000e+01,8.867541666666666345e+01,8.771750000000000114e+01,3.714854121208190918e-01,3.805549740791320801e-01
1.800000000000000000e+01,8.939624999999999488e+01,8.806999999999999318e+01,3.582614660263061523e-01,3.709084987640380859e-01
