# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,6.795777777777777828e+01,6.791888888888888687e+01,5.947449803352355957e-01,5.955006480216979980e-01
2.000000000000000000e+00,6.800796296296296362e+01,6.799777777777778454e+01,5.942753553390502930e-01,5.950099229812622070e-01
3.000000000000000000e+00,6.806259259259259409e+01,6.803888888888889142e+01,5.930672883987426758e-01,5.939261317253112793e-01
4.000000000000000000e+00,6.866981481481481353e+01,6.855444444444444230e+01,5.888862013816833496e-01,5.897587537765502930e-01
5.000000000000000000e+00,6.913462962962962877e+01,6.914222222222221603e+01,5.865250229835510254e-01,5.872686505317687988e-01
6.000000000000000000e+00,6.909777777777777885e+01,6.909777777777777885e+01,5.860553383827209473e-01,5.868104100227355957e-01
7.000000000000000000e+00,6.945870370370370495e+01,6.952555555555555600e+01,5.844269394874572754e-01,5.854148268699645996e-01
8.000000000000000000e+00,6.958944444444443889e+01,6.960444444444443945e+01,5.825279951095581055e-01,5.839184522628784180e-01
9.000000000000000000e+00,6.969370370370370438e+01,6.961666666666666003e+01,5.819903016090393066e-01,5.835626721382141113e-01
1.000000000000000000e+01,7.029388888888888687e+01,7.018111111111110745e+01,5.784175992012023926e-01,5.804518461227416992e-01
1.100000000000000000e+01,7.015611111111111597e+01,7.005111111111111200e+01,5.783627629280090332e-01,5.803877711296081543e-01
1.200000000000000000e+01,7.017462962962963502e+01,7.011222222222222911e+01,5.779728889465332031e-01,5.803276300430297852e-01
1.300000000000000000e+01,7.051740740740740421e+01,7.050555555555555998e+01,5.760427713394165039e-01,5.784689188003540039e-01
1.400000000000000000e+01,7.062500000000000000e+01,7.057333333333333769e+01,5.754945278167724609e-01,5.782303214073181152e-01
1.500000000000000000e+01,7.060296296296296248e+01,7.052444444444444116e+01,5.752472281455993652e-01,5.778738856315612793e-01
1.600000000000000000e+01,7.086148148148147641e+01,7.077111111111111086e+01,5.737661123275756836e-01,5.768271088600158691e-01
1.700000000000000000e+01,7.092759259259258897e+01,7.082666666666666799e+01,5.731686949729919434e-01,5.760703682899475098e-01
1.800000000000000000e+01,7.098851851851851791e+01,7.092333333333333201e+01,5.718415379524230957e-01,5.748243927955627441e-01
1.900000000000000000e+01,7.096259259259258556e+01,7.091666666666667140e+01,5.722007751464843750e-01,5.753360390663146973e-01
2.000000000000000000e+01,7.106425925925925924e+01,7.094444444444444287e+01,5.715618729591369629e-01,5.752693414688110352e-01
2.100000000000000000e+01,7.138240740740741330e+01,7.118999999999999773e+01,5.682910680770874023e-01,5.725907683372497559e-01
2.200000000000000000e+01,7.140148148148148266e+01,7.126999999999999602e+01,5.682764053344726562e-01,5.728017687797546387e-01
2.300000000000000000e+01,7.167555555555556168e+01,7.143777777777778226e+01,5.659854412078857422e-01,5.709018111228942871e-01
2.400000000000000000e+01,7.171185185185184707e+01,7.161222222222222911e+01,5.655910968780517578e-01,5.705123543739318848e-01
2.500000000000000000e+01,7.196648148148148039e+01,7.175111111111111484e+01,5.634549260139465332e-01,5.688231587409973145e-01
2.600000000000000000e+01,7.217462962962963502e+01,7.199444444444444002e+01,5.610536932945251465e-01,5.666191577911376953e-01
2.700000000000000000e+01,7.230333333333332746e+01,7.209999999999999432e+01,5.594345927238464355e-01,5.652720332145690918e-01
2.800000000000000000e+01,7.236388888888889426e+01,7.217666666666666231e+01,5.594504475593566895e-01,5.655798316001892090e-01
2.900000000000000000e+01,7.260592592592593064e+01,7.225000000000000000e+01,5.559089183807373047e-01,5.626187324523925781e-01
3.000000000000000000e+01,7.285796296296295793e+01,7.251333333333333542e+01,5.533952713012695312e-01,5.604741573333740234e-01
3.100000000000000000e+01,7.302092592592592268e+01,7.266777777777777203e+01,5.521747469902038574e-01,5.598164796829223633e-01
3.200000000000000000e+01,7.315944444444444628e+01,7.284888888888889369e+01,5.506861209869384766e-01,5.590429902076721191e-01
3.300000000000000000e+01,7.334055555555555372e+01,7.296444444444443889e+01,5.485877990722656250e-01,5.577980279922485352e-01
3.400000000000000000e+01,7.347018518518518704e+01,7.309555555555554918e+01,5.476639866828918457e-01,5.572400093078613281e-01
3.500000000000000000e+01,7.353981481481481808e+01,7.320777777777777828e+01,5.465325713157653809e-01,5.567948222160339355e-01
3.600000000000000000e+01,7.374907407407407334e+01,7.329333333333333655e+01,5.447219610214233398e-01,5.556487441062927246e-01
3.700000000000000000e+01,7.377555555555555600e+01,7.326444444444445026e+01,5.437934398651123047e-01,5.555319786071777344e-01
3.800000000000000000e+01,7.383018518518518647e+01,7.334555555555554918e+01,5.434929132461547852e-01,5.560104846954345703e-01
3.900000000000000000e+01,7.392481481481480898e+01,7.336333333333332973e+01,5.421668887138366699e-01,5.558524131774902344e-01
4.000000000000000000e+01,7.413685185185185844e+01,7.342444444444444684e+01,5.404584407806396484e-01,5.550903081893920898e-01
4.100000000000000000e+01,7.431444444444444741e+01,7.345666666666666345e+01,5.380237698554992676e-01,5.540995001792907715e-01
4.200000000000000000e+01,7.437944444444444514e+01,7.345777777777777828e+01,5.371314287185668945e-01,5.542834997177124023e-01
4.300000000000000000e+01,7.444314814814815406e+01,7.353222222222221660e+01,5.363370776176452637e-01,5.541885495185852051e-01
4.400000000000000000e+01,7.447833333333333883e+01,7.347777777777777430e+01,5.359288454055786133e-01,5.544995069503784180e-01
4.500000000000000000e+01,7.461074074074073792e+01,7.348444444444444912e+01,5.345407128334045410e-01,5.542494654655456543e-01
4.600000000000000000e+01,7.469462962962963104e+01,7.356333333333333258e+01,5.336458683013916016e-01,5.543019771575927734e-01
4.700000000000000000e+01,7.475722222222222513e+01,7.350000000000000000e+01,5.326381325721740723e-01,5.545507669448852539e-01
4.800000000000000000e+01,7.487425925925926151e+01,7.352666666666667084e+01,5.312349200248718262e-01,5.544918775558471680e-01
4.900000000000000000e+01,7.493629629629629108e+01,7.352777777777777146e+01,5.302512645721435547e-01,5.547314882278442383e-01
5.000000000000000000e+01,7.496777777777778340e+01,7.354555555555555202e+01,5.294834375381469727e-01,5.550910830497741699e-01
