# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,7.448916666666666231e+01,7.436199999999999477e+01,5.095964670181274414e-01,5.100398659706115723e-01
2.000000000000000000e+00,7.543466666666667209e+01,7.531799999999999784e+01,4.930067658424377441e-01,4.939547479152679443e-01
3.000000000000000000e+00,7.594433333333333280e+01,7.585299999999999443e+01,4.832837581634521484e-01,4.849340915679931641e-01
4.000000000000000000e+00,7.625633333333333042e+01,7.609000000000000341e+01,4.783064126968383789e-01,4.810709953308105469e-01
5.000000000000000000e+00,7.662550000000000239e+01,7.641200000000000614e+01,4.721955060958862305e-01,4.763091802597045898e-01
6.000000000000000000e+00,7.713433333333333053e+01,7.688599999999999568e+01,4.653134346008300781e-01,4.696017205715179443e-01
7.000000000000000000e+00,7.751550000000000296e+01,7.725000000000000000e+01,4.557157754898071289e-01,4.601045846939086914e-01
8.000000000000000000e+00,7.764416666666666345e+01,7.740900000000000603e+01,4.525189697742462158e-01,4.573456645011901855e-01
9.000000000000000000e+00,7.782733333333332837e+01,7.747700000000000387e+01,4.491551518440246582e-01,4.546943902969360352e-01
1.000000000000000000e+01,7.791116666666667356e+01,7.760099999999999909e+01,4.468445181846618652e-01,4.530056118965148926e-01
1.100000000000000000e+01,7.824283333333333701e+01,7.786199999999999477e+01,4.418420195579528809e-01,4.485788047313690186e-01
1.200000000000000000e+01,7.850100000000000477e+01,7.810899999999999466e+01,4.383976161479949951e-01,4.454658925533294678e-01
1.300000000000000000e+01,7.870633333333333326e+01,7.826000000000000512e+01,4.351717233657836914e-01,4.428326785564422607e-01
1.400000000000000000e+01,7.889383333333333326e+01,7.843999999999999773e+01,4.326255619525909424e-01,4.406007826328277588e-01
1.500000000000000000e+01,7.904516666666665969e+01,7.860800000000000409e+01,4.299328923225402832e-01,4.385450780391693115e-01
1.600000000000000000e+01,7.928033333333333132e+01,7.882200000000000273e+01,4.253639280796051025e-01,4.346197843551635742e-01
1.700000000000000000e+01,7.949983333333332780e+01,7.896500000000000341e+01,4.225563108921051025e-01,4.328164458274841309e-01
1.800000000000000000e+01,7.963400000000000034e+01,7.914700000000000557e+01,4.200148284435272217e-01,4.304482638835906982e-01
1.900000000000000000e+01,7.972983333333333178e+01,7.915000000000000568e+01,4.187071919441223145e-01,4.303119480609893799e-01
2.000000000000000000e+01,8.012500000000000000e+01,7.936100000000000421e+01,4.128795564174652100e-01,4.260660707950592041e-01
2.100000000000000000e+01,8.062566666666666038e+01,7.978900000000000148e+01,4.042909741401672363e-01,4.199486076831817627e-01
2.200000000000000000e+01,8.085150000000000148e+01,7.994499999999999318e+01,4.005314707756042480e-01,4.172335863113403320e-01
2.300000000000000000e+01,8.111666666666666003e+01,8.011499999999999488e+01,3.963077664375305176e-01,4.144710004329681396e-01
2.400000000000000000e+01,8.143366666666666731e+01,8.039600000000000080e+01,3.906123340129852295e-01,4.101204872131347656e-01
2.500000000000000000e+01,8.179633333333333667e+01,8.074699999999999989e+01,3.850262463092803955e-01,4.062437117099761963e-01
2.600000000000000000e+01,8.218066666666666720e+01,8.111199999999999477e+01,3.789413273334503174e-01,4.017227590084075928e-01
2.700000000000000000e+01,8.259650000000000603e+01,8.140300000000000580e+01,3.721550107002258301e-01,3.969136476516723633e-01
2.800000000000000000e+01,8.281850000000000023e+01,8.152299999999999613e+01,3.686957955360412598e-01,3.954905271530151367e-01
2.900000000000000000e+01,8.316150000000000375e+01,8.172599999999999909e+01,3.626555800437927246e-01,3.923201858997344971e-01
3.000000000000000000e+01,8.349133333333332985e+01,8.188100000000000023e+01,3.567304313182830811e-01,3.897695541381835938e-01
3.100000000000000000e+01,8.399283333333333701e+01,8.215600000000000591e+01,3.476927578449249268e-01,3.856357634067535400e-01
3.200000000000000000e+01,8.425516666666666765e+01,8.216700000000000159e+01,3.429293334484100342e-01,3.848735988140106201e-01
3.300000000000000000e+01,8.452883333333333837e+01,8.216299999999999670e+01,3.382146060466766357e-01,3.847585320472717285e-01
3.400000000000000000e+01,8.470933333333333337e+01,8.215099999999999625e+01,3.347080647945404053e-01,3.868699073791503906e-01
3.500000000000000000e+01,8.485783333333333189e+01,8.204500000000000171e+01,3.327992260456085205e-01,3.901031911373138428e-01
3.600000000000000000e+01,8.499583333333333712e+01,8.203199999999999648e+01,3.298452496528625488e-01,3.934415280818939209e-01
3.700000000000000000e+01,8.501349999999999341e+01,8.187999999999999545e+01,3.296386301517486572e-01,3.985017836093902588e-01
3.800000000000000000e+01,8.519100000000000250e+01,8.176300000000000523e+01,3.266982734203338623e-01,4.012238085269927979e-01
3.900000000000000000e+01,8.547266666666666879e+01,8.199099999999999966e+01,3.213754296302795410e-01,4.020718634128570557e-01
4.000000000000000000e+01,8.549750000000000227e+01,8.187099999999999511e+01,3.213331997394561768e-01,4.069227278232574463e-01
4.100000000000000000e+01,8.630766666666666254e+01,8.225100000000000477e+01,3.054156601428985596e-01,4.007942378520965576e-01
4.200000000000000000e+01,8.644983333333333064e+01,8.216500000000000625e+01,3.021596372127532959e-01,4.046055674552917480e-01
4.300000000000000000e+01,8.663533333333333530e+01,8.211199999999999477e+01,2.989678680896759033e-01,4.088653922080993652e-01
4.400000000000000000e+01,8.681216666666666981e+01,8.203100000000000591e+01,2.959596216678619385e-01,4.138675928115844727e-01
4.500000000000000000e+01,8.697466666666666413e+01,8.191200000000000614e+01,2.931647002696990967e-01,4.198461472988128662e-01
4.600000000000000000e+01,8.714499999999999602e+01,8.181900000000000261e+01,2.902604639530181885e-01,4.261668622493743896e-01
4.700000000000000000e+01,8.729200000000000159e+01,8.169299999999999784e+01,2.878885865211486816e-01,4.333797097206115723e-01
4.800000000000000000e+01,8.746883333333333610e+01,8.153799999999999670e+01,2.851170599460601807e-01,4.403859674930572510e-01
4.900000000000000000e+01,8.758016666666667049e+01,8.145399999999999352e+01,2.833722829818725586e-01,4.492966234683990479e-01
5.000000000000000000e+01,8.765300000000000580e+01,8.130500000000000682e+01,2.819235026836395264e-01,4.584017992019653320e-01
