# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,7.295199999999999818e+01,7.284600000000000364e+01,5.840846300125122070e-01,5.840576291084289551e-01
2.000000000000000000e+00,7.366566666666666663e+01,7.348499999999999943e+01,5.730297565460205078e-01,5.731596946716308594e-01
3.000000000000000000e+00,7.389333333333333087e+01,7.372400000000000375e+01,5.655094981193542480e-01,5.657840371131896973e-01
4.000000000000000000e+00,7.401000000000000512e+01,7.381699999999999307e+01,5.594477057456970215e-01,5.598431229591369629e-01
5.000000000000000000e+00,7.410416666666667140e+01,7.388299999999999557e+01,5.542728900909423828e-01,5.548117160797119141e-01
6.000000000000000000e+00,7.416116666666667356e+01,7.394499999999999318e+01,5.497700572013854980e-01,5.504611730575561523e-01
7.000000000000000000e+00,7.420083333333333542e+01,7.397100000000000364e+01,5.458024144172668457e-01,5.466601252555847168e-01
8.000000000000000000e+00,7.422883333333332700e+01,7.402100000000000080e+01,5.422800779342651367e-01,5.433118343353271484e-01
9.000000000000000000e+00,7.426149999999999807e+01,7.407099999999999795e+01,5.391346216201782227e-01,5.403478145599365234e-01
1.000000000000000000e+01,7.429550000000000409e+01,7.411799999999999500e+01,5.363158583641052246e-01,5.377185344696044922e-01
1.100000000000000000e+01,7.432483333333333064e+01,7.414700000000000557e+01,5.337901711463928223e-01,5.353800058364868164e-01
1.200000000000000000e+01,7.435500000000000398e+01,7.420000000000000284e+01,5.315247178077697754e-01,5.332943201065063477e-01
1.300000000000000000e+01,7.438083333333332803e+01,7.418899999999999295e+01,5.294933915138244629e-01,5.314429402351379395e-01
1.400000000000000000e+01,7.439983333333333348e+01,7.422799999999999443e+01,5.276688933372497559e-01,5.297954082489013672e-01
1.500000000000000000e+01,7.443366666666666731e+01,7.426000000000000512e+01,5.260355472564697266e-01,5.283285379409790039e-01
1.600000000000000000e+01,7.444700000000000273e+01,7.427599999999999625e+01,5.245646834373474121e-01,5.270252227783203125e-01
1.700000000000000000e+01,7.445850000000000080e+01,7.429800000000000182e+01,5.232453346252441406e-01,5.258613824844360352e-01
1.800000000000000000e+01,7.447400000000000375e+01,7.430899999999999750e+01,5.220652818679809570e-01,5.248528122901916504e-01
1.900000000000000000e+01,7.448483333333332723e+01,7.431100000000000705e+01,5.210162997245788574e-01,5.239686369895935059e-01
2.000000000000000000e+01,7.450333333333333030e+01,7.431699999999999307e+01,5.200782418251037598e-01,5.231878161430358887e-01
2.100000000000000000e+01,7.451749999999999829e+01,7.433199999999999363e+01,5.195651650428771973e-01,5.227611064910888672e-01
2.200000000000000000e+01,7.452616666666666845e+01,7.432399999999999807e+01,5.191367864608764648e-01,5.224072337150573730e-01
2.300000000000000000e+01,7.453633333333333155e+01,7.431100000000000705e+01,5.187320113182067871e-01,5.220788121223449707e-01
2.400000000000000000e+01,7.453900000000000148e+01,7.432099999999999795e+01,5.183412432670593262e-01,5.217750668525695801e-01
2.500000000000000000e+01,7.454550000000000409e+01,7.432800000000000296e+01,5.179784893989562988e-01,5.214950442314147949e-01
2.600000000000000000e+01,7.455133333333333212e+01,7.433400000000000318e+01,5.176430940628051758e-01,5.212377309799194336e-01
2.700000000000000000e+01,7.455150000000000432e+01,7.433700000000000330e+01,5.173311233520507812e-01,5.210037231445312500e-01
2.800000000000000000e+01,7.455933333333332769e+01,7.432999999999999829e+01,5.170376896858215332e-01,5.207905769348144531e-01
2.900000000000000000e+01,7.455933333333332769e+01,7.432200000000000273e+01,5.167649388313293457e-01,5.205981731414794922e-01
3.000000000000000000e+01,7.456716666666666526e+01,7.431799999999999784e+01,5.165140032768249512e-01,5.204226970672607422e-01
3.100000000000000000e+01,7.457166666666667254e+01,7.431900000000000261e+01,5.163719654083251953e-01,5.203327536582946777e-01
3.200000000000000000e+01,7.457583333333333542e+01,7.431399999999999295e+01,5.162493586540222168e-01,5.202464461326599121e-01
3.300000000000000000e+01,7.457616666666666561e+01,7.431799999999999784e+01,5.161337256431579590e-01,5.201651453971862793e-01
3.400000000000000000e+01,7.457666666666666799e+01,7.433100000000000307e+01,5.160219073295593262e-01,5.200858712196350098e-01
3.500000000000000000e+01,7.457983333333334031e+01,7.432999999999999829e+01,5.159161686897277832e-01,5.200119018554687500e-01
3.600000000000000000e+01,7.458033333333332848e+01,7.432599999999999341e+01,5.158148407936096191e-01,5.199453234672546387e-01
3.700000000000000000e+01,7.458366666666667300e+01,7.432999999999999829e+01,5.157176852226257324e-01,5.198832750320434570e-01
3.800000000000000000e+01,7.458716666666666129e+01,7.432299999999999329e+01,5.156239271163940430e-01,5.198257565498352051e-01
3.900000000000000000e+01,7.458783333333333587e+01,7.432999999999999829e+01,5.155330896377563477e-01,5.197712182998657227e-01
4.000000000000000000e+01,7.458966666666667322e+01,7.432999999999999829e+01,5.154455900192260742e-01,5.197203755378723145e-01
4.100000000000000000e+01,7.459016666666666140e+01,7.433299999999999841e+01,5.153990387916564941e-01,5.196945667266845703e-01
4.200000000000000000e+01,7.459333333333333371e+01,7.433499999999999375e+01,5.153554677963256836e-01,5.196692943572998047e-01
4.300000000000000000e+01,7.459333333333333371e+01,7.433599999999999852e+01,5.153131484985351562e-01,5.196449160575866699e-01
4.400000000000000000e+01,7.459399999999999409e+01,7.433199999999999363e+01,5.152730941772460938e-01,5.196223855018615723e-01
4.500000000000000000e+01,7.459600000000000364e+01,7.432699999999999818e+01,5.152339339256286621e-01,5.196011662483215332e-01
4.600000000000000000e+01,7.459850000000000136e+01,7.432399999999999807e+01,5.151953101158142090e-01,5.195803642272949219e-01
4.700000000000000000e+01,7.460033333333333871e+01,7.432399999999999807e+01,5.151579380035400391e-01,5.195606350898742676e-01
4.800000000000000000e+01,7.460233333333333405e+01,7.431499999999999773e+01,5.151216387748718262e-01,5.195404291152954102e-01
4.900000000000000000e+01,7.460366666666666902e+01,7.431499999999999773e+01,5.150869488716125488e-01,5.195225477218627930e-01
5.000000000000000000e+01,7.460466666666665958e+01,7.431699999999999307e+01,5.150526762008666992e-01,5.195041894912719727e-01
