# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,7.485299999999999443e+01,7.507599999999999341e+01,5.707699060440063477e-01,5.702892541885375977e-01
2.000000000000000000e+00,7.560366666666666902e+01,7.568800000000000239e+01,5.576461553573608398e-01,5.571197867393493652e-01
3.000000000000000000e+00,7.591800000000000637e+01,7.600799999999999557e+01,5.480553507804870605e-01,5.477321743965148926e-01
4.000000000000000000e+00,7.624466666666666015e+01,7.629600000000000648e+01,5.391017794609069824e-01,5.389232635498046875e-01
5.000000000000000000e+00,7.660016666666666652e+01,7.662500000000000000e+01,5.303969383239746094e-01,5.304634571075439453e-01
6.000000000000000000e+00,7.699133333333332985e+01,7.696599999999999397e+01,5.220234394073486328e-01,5.220642685890197754e-01
7.000000000000000000e+00,7.733633333333332871e+01,7.726900000000000546e+01,5.148360133171081543e-01,5.149866342544555664e-01
8.000000000000000000e+00,7.756466666666666754e+01,7.757099999999999795e+01,5.071502327919006348e-01,5.072900652885437012e-01
9.000000000000000000e+00,7.774116666666667186e+01,7.769700000000000273e+01,5.012577772140502930e-01,5.016003251075744629e-01
1.000000000000000000e+01,7.796850000000000591e+01,7.792499999999999716e+01,4.944947957992553711e-01,4.952743947505950928e-01
1.100000000000000000e+01,7.822316666666667118e+01,7.811400000000000432e+01,4.879255294799804688e-01,4.893097281455993652e-01
1.200000000000000000e+01,7.854416666666666913e+01,7.843500000000000227e+01,4.807001948356628418e-01,4.825027883052825928e-01
1.300000000000000000e+01,7.886633333333332985e+01,7.869100000000000250e+01,4.743257164955139160e-01,4.765693545341491699e-01
1.400000000000000000e+01,7.908299999999999841e+01,7.895900000000000318e+01,4.682086408138275146e-01,4.707671403884887695e-01
1.500000000000000000e+01,7.939783333333333815e+01,7.915699999999999648e+01,4.620707929134368896e-01,4.650605618953704834e-01
1.600000000000000000e+01,7.961416666666666231e+01,7.930899999999999750e+01,4.567036032676696777e-01,4.601665437221527100e-01
1.700000000000000000e+01,7.980700000000000216e+01,7.950799999999999557e+01,4.513276517391204834e-01,4.552253782749176025e-01
1.800000000000000000e+01,8.005700000000000216e+01,7.973399999999999466e+01,4.451829791069030762e-01,4.494009315967559814e-01
1.900000000000000000e+01,8.031799999999999784e+01,7.999399999999999977e+01,4.403991699218750000e-01,4.446868300437927246e-01
2.000000000000000000e+01,8.049633333333333951e+01,8.009199999999999875e+01,4.358441531658172607e-01,4.410526156425476074e-01
2.100000000000000000e+01,8.115550000000000352e+01,8.065800000000000125e+01,4.262329041957855225e-01,4.329209327697753906e-01
2.200000000000000000e+01,8.127966666666667095e+01,8.078300000000000125e+01,4.233082234859466553e-01,4.306379258632659912e-01
2.300000000000000000e+01,8.150333333333333030e+01,8.093999999999999773e+01,4.194903671741485596e-01,4.272807240486145020e-01
2.400000000000000000e+01,8.167199999999999704e+01,8.107599999999999341e+01,4.164455831050872803e-01,4.244859516620635986e-01
2.500000000000000000e+01,8.184633333333333383e+01,8.126000000000000512e+01,4.131979048252105713e-01,4.222524762153625488e-01
2.600000000000000000e+01,8.201366666666666561e+01,8.137800000000000011e+01,4.103693366050720215e-01,4.198063910007476807e-01
2.700000000000000000e+01,8.228833333333332689e+01,8.150000000000000000e+01,4.061043858528137207e-01,4.166180789470672607e-01
2.800000000000000000e+01,8.243250000000000455e+01,8.164499999999999602e+01,4.027879834175109863e-01,4.138877987861633301e-01
2.900000000000000000e+01,8.268783333333333019e+01,8.178700000000000614e+01,3.988212645053863525e-01,4.107197225093841553e-01
3.000000000000000000e+01,8.284600000000000364e+01,8.202800000000000580e+01,3.963263034820556641e-01,4.085894823074340820e-01
3.100000000000000000e+01,8.350983333333333292e+01,8.247299999999999898e+01,3.880511522293090820e-01,4.027174115180969238e-01
3.200000000000000000e+01,8.373099999999999454e+01,8.260399999999999920e+01,3.846212625503540039e-01,4.004155397415161133e-01
3.300000000000000000e+01,8.393049999999999500e+01,8.275900000000000034e+01,3.813566565513610840e-01,3.979083895683288574e-01
3.400000000000000000e+01,8.410200000000000387e+01,8.288800000000000523e+01,3.784828186035156250e-01,3.955914676189422607e-01
3.500000000000000000e+01,8.435399999999999920e+01,8.301300000000000523e+01,3.748674988746643066e-01,3.932585418224334717e-01
3.600000000000000000e+01,8.450866666666667015e+01,8.306799999999999784e+01,3.721415102481842041e-01,3.915405273437500000e-01
3.700000000000000000e+01,8.470300000000000296e+01,8.315699999999999648e+01,3.692156672477722168e-01,3.897393643856048584e-01
3.800000000000000000e+01,8.485299999999999443e+01,8.326900000000000546e+01,3.665940165519714355e-01,3.883039355278015137e-01
3.900000000000000000e+01,8.500866666666667015e+01,8.327500000000000568e+01,3.641925752162933350e-01,3.867251873016357422e-01
4.000000000000000000e+01,8.517549999999999955e+01,8.339900000000000091e+01,3.610043227672576904e-01,3.847204148769378662e-01
4.100000000000000000e+01,8.545616666666666106e+01,8.362300000000000466e+01,3.574328422546386719e-01,3.832948207855224609e-01
4.200000000000000000e+01,8.553916666666667368e+01,8.361400000000000432e+01,3.556041717529296875e-01,3.826867341995239258e-01
4.300000000000000000e+01,8.568316666666666492e+01,8.370000000000000284e+01,3.536607623100280762e-01,3.818972706794738770e-01
4.400000000000000000e+01,8.575249999999999773e+01,8.370099999999999341e+01,3.521951735019683838e-01,3.815459311008453369e-01
4.500000000000000000e+01,8.584483333333332666e+01,8.364199999999999591e+01,3.509075641632080078e-01,3.813626766204833984e-01
4.600000000000000000e+01,8.596966666666666868e+01,8.371299999999999386e+01,3.493306636810302734e-01,3.808690905570983887e-01
4.700000000000000000e+01,8.605549999999999500e+01,8.371500000000000341e+01,3.476992547512054443e-01,3.805897533893585205e-01
4.800000000000000000e+01,8.613816666666666322e+01,8.375000000000000000e+01,3.462609946727752686e-01,3.806664049625396729e-01
4.900000000000000000e+01,8.619866666666666788e+01,8.373099999999999454e+01,3.454147279262542725e-01,3.807556033134460449e-01
5.000000000000000000e+01,8.630683333333332996e+01,8.375300000000000011e+01,3.436148762702941895e-01,3.804998397827148438e-01
