# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,7.477266666666666595e+01,7.495399999999999352e+01,5.709559917449951172e-01,5.704172849655151367e-01
2.000000000000000000e+00,7.561333333333332973e+01,7.583799999999999386e+01,5.573023557662963867e-01,5.568228960037231445e-01
3.000000000000000000e+00,7.587800000000000011e+01,7.604399999999999693e+01,5.482034087181091309e-01,5.477136969566345215e-01
4.000000000000000000e+00,7.610250000000000625e+01,7.629500000000000171e+01,5.397515892982482910e-01,5.393074750900268555e-01
5.000000000000000000e+00,7.634466666666666868e+01,7.637800000000000011e+01,5.324927568435668945e-01,5.323335528373718262e-01
6.000000000000000000e+00,7.672683333333333167e+01,7.683199999999999363e+01,5.242742896080017090e-01,5.241815447807312012e-01
7.000000000000000000e+00,7.705733333333333235e+01,7.705299999999999727e+01,5.167520046234130859e-01,5.166551470756530762e-01
8.000000000000000000e+00,7.740250000000000341e+01,7.739900000000000091e+01,5.088635683059692383e-01,5.088568329811096191e-01
9.000000000000000000e+00,7.764416666666666345e+01,7.755400000000000205e+01,5.018898844718933105e-01,5.020750761032104492e-01
1.000000000000000000e+01,7.784833333333332916e+01,7.785099999999999909e+01,4.952107369899749756e-01,4.956438839435577393e-01
1.100000000000000000e+01,7.808866666666666845e+01,7.794899999999999807e+01,4.894500374794006348e-01,4.899326860904693604e-01
1.200000000000000000e+01,7.824399999999999977e+01,7.815900000000000603e+01,4.831775128841400146e-01,4.840672016143798828e-01
1.300000000000000000e+01,7.854283333333333417e+01,7.843099999999999739e+01,4.772568643093109131e-01,4.787874221801757812e-01
1.400000000000000000e+01,7.868750000000000000e+01,7.853600000000000136e+01,4.720248878002166748e-01,4.735720455646514893e-01
1.500000000000000000e+01,7.912516666666667220e+01,7.883199999999999363e+01,4.642773866653442383e-01,4.666600525379180908e-01
1.600000000000000000e+01,7.931133333333333724e+01,7.901699999999999591e+01,4.592477679252624512e-01,4.618852138519287109e-01
1.700000000000000000e+01,7.962099999999999511e+01,7.928199999999999648e+01,4.529957175254821777e-01,4.561601579189300537e-01
1.800000000000000000e+01,7.988516666666666310e+01,7.962000000000000455e+01,4.473844170570373535e-01,4.509575963020324707e-01
1.900000000000000000e+01,8.019233333333333746e+01,7.978600000000000136e+01,4.410927593708038330e-01,4.453226029872894287e-01
2.000000000000000000e+01,8.047400000000000375e+01,8.017700000000000671e+01,4.352836608886718750e-01,4.400128722190856934e-01
2.100000000000000000e+01,8.103300000000000125e+01,8.074299999999999500e+01,4.269523024559020996e-01,4.322758913040161133e-01
2.200000000000000000e+01,8.134999999999999432e+01,8.100100000000000477e+01,4.217073917388916016e-01,4.276279211044311523e-01
2.300000000000000000e+01,8.155450000000000443e+01,8.119100000000000250e+01,4.186889529228210449e-01,4.253613948822021484e-01
2.400000000000000000e+01,8.173516666666667163e+01,8.121800000000000352e+01,4.151693880558013916e-01,4.222978055477142334e-01
2.500000000000000000e+01,8.193000000000000682e+01,8.138599999999999568e+01,4.116236567497253418e-01,4.196906983852386475e-01
2.600000000000000000e+01,8.218666666666666742e+01,8.162199999999999989e+01,4.075928330421447754e-01,4.159415662288665771e-01
2.700000000000000000e+01,8.240666666666666629e+01,8.177100000000000080e+01,4.037210047245025635e-01,4.129027724266052246e-01
2.800000000000000000e+01,8.269383333333333042e+01,8.199599999999999511e+01,3.987670540809631348e-01,4.091891944408416748e-01
2.900000000000000000e+01,8.296699999999999875e+01,8.225199999999999534e+01,3.941364884376525879e-01,4.054041802883148193e-01
3.000000000000000000e+01,8.321616666666666617e+01,8.243300000000000693e+01,3.895009160041809082e-01,4.014750719070434570e-01
3.100000000000000000e+01,8.385283333333333644e+01,8.280400000000000205e+01,3.816974759101867676e-01,3.970448970794677734e-01
3.200000000000000000e+01,8.411450000000000671e+01,8.292100000000000648e+01,3.777089118957519531e-01,3.946601748466491699e-01
3.300000000000000000e+01,8.440149999999999864e+01,8.306199999999999761e+01,3.734531402587890625e-01,3.915065228939056396e-01
3.400000000000000000e+01,8.458133333333333326e+01,8.315999999999999659e+01,3.708658516407012939e-01,3.905449509620666504e-01
3.500000000000000000e+01,8.476433333333334019e+01,8.334199999999999875e+01,3.674868941307067871e-01,3.876389265060424805e-01
3.600000000000000000e+01,8.439000000000000057e+01,8.306100000000000705e+01,3.724680840969085693e-01,3.905171751976013184e-01
3.700000000000000000e+01,8.465266666666666140e+01,8.325199999999999534e+01,3.677326440811157227e-01,3.868159353733062744e-01
3.800000000000000000e+01,8.529366666666666674e+01,8.362600000000000477e+01,3.592695593833923340e-01,3.820623755455017090e-01
3.900000000000000000e+01,8.531183333333333962e+01,8.358400000000000318e+01,3.584806621074676514e-01,3.820382356643676758e-01
4.000000000000000000e+01,8.555783333333333474e+01,8.369799999999999329e+01,3.546942472457885742e-01,3.796193599700927734e-01
4.100000000000000000e+01,8.587900000000000489e+01,8.378400000000000603e+01,3.505648374557495117e-01,3.788484632968902588e-01
