# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,1.986166666666666814e+01,1.980499999999999972e+01,3.114162721354166496e+00,3.115523444010416476e+00
2.000000000000000000e+00,2.387066666666666492e+01,2.375700000000000145e+01,3.024016484375000147e+00,3.027062760416666887e+00
3.000000000000000000e+00,2.631833333333333158e+01,2.616333333333333400e+01,2.960162265625000177e+00,2.965696210937499799e+00
4.000000000000000000e+00,2.815433333333333366e+01,2.799933333333333252e+01,2.897157789713541653e+00,2.904168177083333191e+00
5.000000000000000000e+00,3.165166666666666728e+01,3.138866666666666561e+01,2.794541923828124830e+00,2.802031259765624949e+00
6.000000000000000000e+00,3.326200000000000045e+01,3.289433333333333564e+01,2.738085289713541481e+00,2.746638958333333491e+00
7.000000000000000000e+00,3.591366666666666418e+01,3.554800000000000182e+01,2.658555590820312453e+00,2.668482249348958391e+00
8.000000000000000000e+00,3.716466666666666896e+01,3.670100000000000051e+01,2.608438929036458465e+00,2.620245847981770737e+00
9.000000000000000000e+00,3.795566666666666578e+01,3.735033333333333161e+01,2.579660810546875016e+00,2.592544838867187451e+00
1.000000000000000000e+01,3.855366666666666475e+01,3.798866666666666703e+01,2.555456774088541660e+00,2.569197776692708324e+00
1.100000000000000000e+01,3.917166666666666686e+01,3.862633333333333496e+01,2.532381585286458403e+00,2.546884723307291765e+00
1.200000000000000000e+01,3.984366666666666390e+01,3.926133333333333297e+01,2.508626311848958235e+00,2.523785336914062594e+00
1.300000000000000000e+01,4.048400000000000176e+01,3.988366666666667015e+01,2.484957636718749807e+00,2.500637115885416595e+00
1.400000000000000000e+01,4.101233333333333064e+01,4.043099999999999739e+01,2.464012189127604113e+00,2.480305097656250179e+00
1.500000000000000000e+01,4.142900000000000205e+01,4.091199999999999903e+01,2.444622750651041621e+00,2.461614983723958261e+00
1.600000000000000000e+01,4.189866666666666362e+01,4.140400000000000347e+01,2.425883538411458318e+00,2.443575043945312331e+00
1.700000000000000000e+01,4.239966666666666839e+01,4.191733333333333178e+01,2.407383894856770734e+00,2.425823097330729095e+00
1.800000000000000000e+01,4.295833333333333570e+01,4.240800000000000125e+01,2.389323465169270744e+00,2.408549145507812295e+00
1.900000000000000000e+01,4.349233333333333462e+01,4.296866666666666390e+01,2.372255299479166801e+00,2.392277211914062285e+00
2.000000000000000000e+01,4.406700000000000017e+01,4.348899999999999721e+01,2.355359461263020648e+00,2.376231035156250115e+00
2.100000000000000000e+01,4.465566666666666862e+01,4.412066666666666492e+01,2.341415706380208128e+00,2.362675172526041756e+00
2.200000000000000000e+01,4.501666666666666572e+01,4.441633333333333411e+01,2.332792915039062720e+00,2.354449430338541482e+00
2.300000000000000000e+01,4.537199999999999989e+01,4.472466666666666413e+01,2.324172820638020998e+00,2.346292560221354240e+00
2.400000000000000000e+01,4.569566666666666777e+01,4.502866666666666617e+01,2.315773105468749815e+00,2.338355377604166563e+00
2.500000000000000000e+01,4.602033333333333331e+01,4.533366666666666589e+01,2.307686095377604385e+00,2.330741495768229310e+00
2.600000000000000000e+01,4.632566666666666322e+01,4.559633333333333383e+01,2.299328180338541472e+00,2.322932133789062714e+00
2.700000000000000000e+01,4.657933333333333081e+01,4.590200000000000102e+01,2.291064505208333379e+00,2.315045092773437396e+00
2.800000000000000000e+01,4.690066666666666606e+01,4.625600000000000023e+01,2.282259280598958551e+00,2.306535989583333279e+00
2.900000000000000000e+01,4.730433333333333223e+01,4.659166666666666856e+01,2.272584231770833352e+00,2.297207853190104121e+00
3.000000000000000000e+01,4.766966666666666441e+01,4.700866666666667015e+01,2.263265309244791634e+00,2.288395021158854181e+00
3.100000000000000000e+01,4.792933333333333223e+01,4.724466666666666725e+01,2.257734235026041869e+00,2.283073032226562660e+00
3.200000000000000000e+01,4.811066666666666691e+01,4.740333333333333599e+01,2.253876380208333252e+00,2.279465174153645801e+00
3.300000000000000000e+01,4.826400000000000290e+01,4.755299999999999727e+01,2.250491608072916705e+00,2.276380847981770650e+00
3.400000000000000000e+01,4.841733333333333178e+01,4.769500000000000028e+01,2.247353328450520937e+00,2.273534280598958457e+00
3.500000000000000000e+01,4.856433333333333024e+01,4.784100000000000108e+01,2.244458481445312348e+00,2.270922602539062307e+00
3.600000000000000000e+01,4.866633333333333411e+01,4.797033333333333616e+01,2.241798818359375112e+00,2.268537827148437547e+00
3.700000000000000000e+01,4.878699999999999903e+01,4.807833333333333314e+01,2.239303888346354299e+00,2.266304573567708314e+00
3.800000000000000000e+01,4.888266666666666538e+01,4.818466666666666498e+01,2.236924667968749780e+00,2.264195854492187632e+00
3.900000000000000000e+01,4.897033333333333616e+01,4.826766666666666339e+01,2.234655722656250010e+00,2.262202812499999993e+00
4.000000000000000000e+01,4.907600000000000051e+01,4.833566666666666833e+01,2.232496287434895699e+00,2.260320183919271031e+00
4.100000000000000000e+01,4.915933333333333621e+01,4.845633333333333326e+01,2.230968901367187396e+00,2.258864171549479050e+00
4.200000000000000000e+01,4.919466666666667010e+01,4.851333333333333542e+01,2.229955358072916560e+00,2.257992047526041546e+00
4.300000000000000000e+01,4.922999999999999687e+01,4.855366666666666475e+01,2.228964830729166735e+00,2.257142932942708402e+00
4.400000000000000000e+01,4.927266666666666595e+01,4.858466666666666356e+01,2.227971103515625106e+00,2.256283722330729269e+00
4.500000000000000000e+01,4.933233333333333093e+01,4.863166666666666771e+01,2.227011892903645762e+00,2.255458071289062616e+00
4.600000000000000000e+01,4.937933333333333508e+01,4.867466666666666697e+01,2.226069326171875140e+00,2.254643076171875204e+00
4.700000000000000000e+01,4.942466666666666697e+01,4.871166666666666600e+01,2.225151202799479311e+00,2.253863077799479253e+00
4.800000000000000000e+01,4.945433333333333081e+01,4.873166666666666913e+01,2.224246456705729180e+00,2.253092744140625214e+00
4.900000000000000000e+01,4.949533333333333474e+01,4.874633333333333240e+01,2.223361526692708257e+00,2.252334493815104199e+00
5.000000000000000000e+01,4.954233333333333178e+01,4.878233333333333377e+01,2.222485006510416472e+00,2.251588746744791703e+00
5.100000000000000000e+01,4.965200000000000102e+01,4.889200000000000301e+01,2.221634625651041528e+00,2.250798284505208358e+00
5.200000000000000000e+01,4.967566666666666464e+01,4.890633333333333610e+01,2.221197773437499912e+00,2.250429775390625053e+00
