# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,6.161666666666666714e+01,6.093866666666666987e+01,2.005376782836914007e+00,2.026667041422526072e+00
2.000000000000000000e+00,7.331799999999999784e+01,7.213400000000000034e+01,1.620437672119140693e+00,1.653675948486328151e+00
3.000000000000000000e+00,7.794966666666667265e+01,7.667633333333333212e+01,1.464974728190104214e+00,1.506112664591471306e+00
4.000000000000000000e+00,7.875000000000000000e+01,7.739633333333333098e+01,1.424210294392903586e+00,1.473017029418945301e+00
5.000000000000000000e+00,7.698866666666665992e+01,7.575366666666666049e+01,1.469147533569336028e+00,1.525212426147460887e+00
6.000000000000000000e+00,7.426233333333333064e+01,7.294566666666666777e+01,1.577927591756184800e+00,1.641098748575846367e+00
7.000000000000000000e+00,7.637066666666666492e+01,7.502566666666666606e+01,1.504572678629557236e+00,1.574115308837890526e+00
8.000000000000000000e+00,7.116966666666667152e+01,6.999266666666666481e+01,1.718406743570963569e+00,1.794850901692708334e+00
9.000000000000000000e+00,7.963166666666666060e+01,7.799333333333333940e+01,1.378416153767903607e+00,1.455480056355794360e+00
1.000000000000000000e+01,7.844566666666666777e+01,7.686899999999999977e+01,1.414535001831054739e+00,1.496740784708658900e+00
1.100000000000000000e+01,7.336833333333333940e+01,7.190699999999999648e+01,1.592955710449218687e+00,1.681030744628906337e+00
1.200000000000000000e+01,6.970966666666666356e+01,6.840666666666666629e+01,1.733837536621093856e+00,1.826711192626953029e+00
1.300000000000000000e+01,6.565333333333333599e+01,6.448266666666665969e+01,1.926427094930013073e+00,2.023968278808593535e+00
1.400000000000000000e+01,6.146566666666666379e+01,6.036699999999999733e+01,2.205807500000000143e+00,2.307899442952474178e+00
1.500000000000000000e+01,5.431400000000000006e+01,5.340699999999999648e+01,2.860943991699218536e+00,2.967884989013672037e+00
1.600000000000000000e+01,4.092233333333333434e+01,4.038866666666666561e+01,4.632846695149739347e+00,4.744862757161458333e+00
1.700000000000000000e+01,3.621966666666666868e+01,3.580266666666666708e+01,5.982410957031249588e+00,6.097645298665364422e+00
1.800000000000000000e+01,6.959266666666667334e+01,6.823066666666666436e+01,1.788976840006510471e+00,1.898922004394531182e+00
1.900000000000000000e+01,1.970566666666666578e+01,1.961666666666666714e+01,2.000078238281249909e+01,2.012164607096354274e+01
2.000000000000000000e+01,7.033366666666667300e+01,6.880899999999999750e+01,1.783789694213867127e+00,1.897528694864908827e+00
2.100000000000000000e+01,3.069999999999999929e+01,3.046699999999999875e+01,7.609772229817708400e+00,7.738519711914062071e+00
2.200000000000000000e+01,2.958566666666666833e+01,2.942000000000000171e+01,8.213850818684896637e+00,8.346017914225260625e+00
2.300000000000000000e+01,3.182566666666666677e+01,3.159933333333333394e+01,7.191468310546874854e+00,7.326306420898437644e+00
2.400000000000000000e+01,3.526500000000000057e+01,3.491466666666666896e+01,6.007927309570312069e+00,6.144633743489583466e+00
2.500000000000000000e+01,3.757533333333333303e+01,3.711733333333333462e+01,5.398792442220051946e+00,5.537310652669271249e+00
2.600000000000000000e+01,2.411700000000000088e+01,2.396266666666666723e+01,1.340553381022135504e+01,1.354728215169270911e+01
2.700000000000000000e+01,3.245700000000000074e+01,3.217199999999999704e+01,7.086444787597656614e+00,7.230550764160156518e+00
2.800000000000000000e+01,4.828900000000000148e+01,4.757933333333333081e+01,3.482331906738281191e+00,3.625470199788411563e+00
2.900000000000000000e+01,4.488066666666667004e+01,4.428666666666666885e+01,3.994415704752604324e+00,4.140117593587239853e+00
3.000000000000000000e+01,3.890833333333333144e+01,3.837966666666666526e+01,5.190449773763020858e+00,5.339302413736978892e+00
3.100000000000000000e+01,7.856766666666666765e+01,7.639766666666666595e+01,1.415225406290690158e+00,1.557898518676757771e+00
3.200000000000000000e+01,8.355400000000000205e+01,8.087699999999999534e+01,1.254681285196939999e+00,1.396636763305663997e+00
3.300000000000000000e+01,7.836566666666666947e+01,7.609866666666667356e+01,1.420774253336588577e+00,1.566213901367187411e+00
3.400000000000000000e+01,7.396599999999999397e+01,7.205866666666666731e+01,1.584522952473958357e+00,1.733671509399414168e+00
3.500000000000000000e+01,7.885533333333333417e+01,7.658733333333333348e+01,1.405608512776692631e+00,1.554930681355794375e+00
3.600000000000000000e+01,7.097799999999999443e+01,6.924866666666666504e+01,1.712689703165690025e+00,1.865928199259440090e+00
3.700000000000000000e+01,7.899233333333333462e+01,7.664199999999999591e+01,1.399261211344400957e+00,1.550132838134765656e+00
3.800000000000000000e+01,8.329000000000000625e+01,8.056600000000000250e+01,1.261752609252929647e+00,1.413587496948242261e+00
3.900000000000000000e+01,8.831133333333333724e+01,8.481866666666667243e+01,1.119584036153157491e+00,1.268844242960611934e+00
4.000000000000000000e+01,8.956766666666666765e+01,8.580433333333333223e+01,1.086393128153483101e+00,1.237171872558593844e+00
4.100000000000000000e+01,9.006733333333333746e+01,8.621200000000000330e+01,1.072872946980794273e+00,1.224349634399414022e+00
4.200000000000000000e+01,9.012833333333333030e+01,8.622199999999999420e+01,1.071576230875651126e+00,1.224051347656250011e+00
4.300000000000000000e+01,9.015866666666666163e+01,8.622566666666666890e+01,1.070759683837890552e+00,1.224189266153971278e+00
4.400000000000000000e+01,9.018099999999999739e+01,8.622366666666667356e+01,1.069986787211100188e+00,1.224309086507161526e+00
