# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,2.282000000000000028e+01,2.279966666666666697e+01,3.436678750000000004e+00,3.441840898437499963e+00
2.000000000000000000e+00,3.999199999999999733e+01,3.973199999999999932e+01,2.633978819986979136e+00,2.642181692708333252e+00
3.000000000000000000e+00,4.825533333333333275e+01,4.774133333333332985e+01,2.407518295898437355e+00,2.419233146158854098e+00
4.000000000000000000e+00,5.463766666666666794e+01,5.398766666666666936e+01,2.231514964192708117e+00,2.246927353515625114e+00
5.000000000000000000e+00,5.912500000000000000e+01,5.836500000000000199e+01,2.095714702148437691e+00,2.115298001302083453e+00
6.000000000000000000e+00,6.263033333333333275e+01,6.175133333333333496e+01,1.983300432942708413e+00,2.007049101562500049e+00
7.000000000000000000e+00,6.520666666666666345e+01,6.419799999999999329e+01,1.891458927408854240e+00,1.919303261718749987e+00
8.000000000000000000e+00,6.825600000000000023e+01,6.707333333333333769e+01,1.797086577148437447e+00,1.828751559244791602e+00
9.000000000000000000e+00,7.102533333333333587e+01,6.970999999999999375e+01,1.711779625651041581e+00,1.747160688476562473e+00
1.000000000000000000e+01,7.269199999999999307e+01,7.127599999999999625e+01,1.652431998697916571e+00,1.691301585286458353e+00
1.100000000000000000e+01,7.447400000000000375e+01,7.297266666666666879e+01,1.595206137695312609e+00,1.637243201497395884e+00
1.200000000000000000e+01,7.568333333333333712e+01,7.411233333333333917e+01,1.554633136393229087e+00,1.599639028320312573e+00
1.300000000000000000e+01,7.754133333333332700e+01,7.588800000000000523e+01,1.498831580403645836e+00,1.546711166992187581e+00
1.400000000000000000e+01,7.889166666666666572e+01,7.709333333333333371e+01,1.458168491210937390e+00,1.508766404622395862e+00
1.500000000000000000e+01,7.519966666666667265e+01,7.361466666666666470e+01,1.539874811197916582e+00,1.593129881184895735e+00
1.600000000000000000e+01,7.787366666666666504e+01,7.598433333333333906e+01,1.474918191731770856e+00,1.529351731770833389e+00
1.700000000000000000e+01,7.670999999999999375e+01,7.504133333333332700e+01,1.489812187500000107e+00,1.547083567708333440e+00
1.800000000000000000e+01,8.256999999999999318e+01,8.049433333333332996e+01,1.340069134114583393e+00,1.398887068684895763e+00
1.900000000000000000e+01,8.274333333333333940e+01,8.070000000000000284e+01,1.326541791178385443e+00,1.388374702148437390e+00
2.000000000000000000e+01,8.348466666666666924e+01,8.137266666666666026e+01,1.302428798828124901e+00,1.366948209635416633e+00
2.100000000000000000e+01,8.528600000000000136e+01,8.302533333333333587e+01,1.258594051106770806e+00,1.324564354654947929e+00
2.200000000000000000e+01,8.553133333333333610e+01,8.324800000000000466e+01,1.248718330891927186e+00,1.316789028320312527e+00
2.300000000000000000e+01,8.584633333333333383e+01,8.351033333333333530e+01,1.238291226399739653e+00,1.308361486816406183e+00
