# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,6.031708333333333627e+01,6.014333333333333087e+01,1.999986334991455061e+00,2.004296938323974597e+00
2.000000000000000000e+00,6.944291666666666174e+01,6.917041666666666799e+01,1.709645054880778003e+00,1.718646013641357495e+00
3.000000000000000000e+00,7.397458333333332803e+01,7.361041666666666572e+01,1.569914511108398525e+00,1.581183145650227884e+00
4.000000000000000000e+00,7.709958333333332803e+01,7.676624999999999943e+01,1.472917217000325518e+00,1.485018045552571664e+00
5.000000000000000000e+00,7.948125000000000284e+01,7.917291666666666572e+01,1.401825105794270776e+00,1.414984125391642200e+00
6.000000000000000000e+00,8.131999999999999318e+01,8.101250000000000284e+01,1.348431099446614656e+00,1.362546492258707609e+00
7.000000000000000000e+00,8.270041666666666913e+01,8.232166666666667254e+01,1.309298577372232986e+00,1.324556592051188142e+00
8.000000000000000000e+00,8.375291666666666401e+01,8.331250000000000000e+01,1.278809292348225934e+00,1.295049862925211626e+00
9.000000000000000000e+00,8.461083333333333201e+01,8.422249999999999659e+01,1.251418678029378340e+00,1.268660560353596978e+00
1.000000000000000000e+01,8.533499999999999375e+01,8.488458333333333883e+01,1.230264928436279215e+00,1.248551097106933572e+00
1.100000000000000000e+01,8.591083333333332916e+01,8.539875000000000682e+01,1.213121241760253932e+00,1.232510204823811906e+00
1.200000000000000000e+01,8.637708333333333144e+01,8.587125000000000341e+01,1.199293588765462326e+00,1.219655220158894826e+00
1.300000000000000000e+01,8.674708333333333599e+01,8.622166666666666401e+01,1.187505897521972553e+00,1.208839859644571968e+00
1.400000000000000000e+01,8.708124999999999716e+01,8.653333333333333144e+01,1.176979735946655170e+00,1.199107805633544910e+00
1.500000000000000000e+01,8.738291666666667368e+01,8.678666666666666174e+01,1.167955168914794895e+00,1.190769626744588194e+00
1.600000000000000000e+01,8.764749999999999375e+01,8.701999999999999602e+01,1.159652071634928339e+00,1.183067086029052639e+00
1.700000000000000000e+01,8.788375000000000625e+01,8.723624999999999829e+01,1.152298944218953514e+00,1.176273655954996666e+00
1.800000000000000000e+01,8.808208333333332973e+01,8.742791666666666117e+01,1.145542280451456785e+00,1.170127901331583731e+00
1.900000000000000000e+01,8.823375000000000057e+01,8.756916666666666060e+01,1.139684121576945097e+00,1.164845678965250597e+00
2.000000000000000000e+01,8.838249999999999318e+01,8.770749999999999602e+01,1.134448940912882398e+00,1.160155259958902896e+00
2.100000000000000000e+01,8.853083333333333371e+01,8.784541666666666515e+01,1.129544401804606135e+00,1.155692792510986333e+00
2.200000000000000000e+01,8.867166666666666686e+01,8.795125000000000171e+01,1.125173865381876581e+00,1.151804282887776587e+00
2.300000000000000000e+01,8.877375000000000682e+01,8.803583333333332916e+01,1.121645217641194625e+00,1.148736663564046134e+00
2.400000000000000000e+01,8.887624999999999886e+01,8.810250000000000625e+01,1.118213184611002609e+00,1.145699058278401683e+00
2.500000000000000000e+01,8.896833333333333371e+01,8.816625000000000512e+01,1.115307540257771901e+00,1.143215642929077180e+00
2.600000000000000000e+01,8.932541666666666913e+01,8.851000000000000512e+01,1.105047190348307229e+00,1.133129094187418584e+00
2.700000000000000000e+01,8.936833333333333940e+01,8.855166666666666231e+01,1.103414969889322972e+00,1.131736004892984981e+00
2.800000000000000000e+01,8.940999999999999659e+01,8.858583333333332632e+01,1.101816293207804387e+00,1.130382493082682238e+00
2.900000000000000000e+01,8.944666666666667254e+01,8.861958333333333826e+01,1.100361062367757103e+00,1.129157786432902100e+00
3.000000000000000000e+01,8.948333333333333428e+01,8.865416666666666856e+01,1.098923628870646096e+00,1.127958117930094373e+00
3.100000000000000000e+01,8.953249999999999886e+01,8.868416666666666970e+01,1.097431550216674712e+00,1.126681918589274023e+00
3.200000000000000000e+01,8.956916666666666060e+01,8.871833333333333371e+01,1.096110093180338474e+00,1.125557011159260989e+00
3.300000000000000000e+01,8.961041666666666572e+01,8.875916666666667254e+01,1.094752226511637394e+00,1.124417858123779368e+00
3.400000000000000000e+01,8.965208333333333712e+01,8.879250000000000398e+01,1.093466793823242078e+00,1.123328584162394117e+00
3.500000000000000000e+01,8.969083333333333030e+01,8.881541666666666401e+01,1.092242113876342735e+00,1.122324321238199918e+00
3.600000000000000000e+01,8.971416666666667084e+01,8.883833333333333826e+01,1.091061543782552157e+00,1.121343448638915996e+00
3.700000000000000000e+01,8.975124999999999886e+01,8.887208333333333599e+01,1.089942465845743724e+00,1.120391177368164071e+00
3.800000000000000000e+01,8.977791666666666970e+01,8.889624999999999488e+01,1.088798836263020764e+00,1.119474522145589290e+00
3.900000000000000000e+01,8.980166666666666231e+01,8.892333333333333201e+01,1.087684504699707011e+00,1.118556917063395106e+00
4.000000000000000000e+01,8.982208333333333883e+01,8.894916666666667027e+01,1.086608339818318614e+00,1.117690672556559184e+00
4.100000000000000000e+01,8.985208333333333997e+01,8.898250000000000171e+01,1.085597802480061880e+00,1.116876277160644637e+00
4.200000000000000000e+01,8.988583333333333769e+01,8.899124999999999375e+01,1.084610311635335389e+00,1.116093688710530607e+00
4.300000000000000000e+01,8.991374999999999318e+01,8.901583333333333314e+01,1.083700435256957917e+00,1.115370680618286148e+00
4.400000000000000000e+01,8.994166666666666288e+01,8.903083333333333371e+01,1.082721263376871690e+00,1.114567576599121201e+00
4.500000000000000000e+01,8.997666666666667368e+01,8.905708333333333826e+01,1.081852404785156319e+00,1.113864783477783282e+00
4.600000000000000000e+01,9.000374999999999659e+01,8.907333333333333769e+01,1.080966248067219970e+00,1.113153815205891961e+00
4.700000000000000000e+01,9.003083333333333371e+01,8.910208333333333997e+01,1.080127628199259338e+00,1.112504257710774658e+00
4.800000000000000000e+01,9.005166666666666231e+01,8.913291666666667368e+01,1.079250122578938820e+00,1.111796912511189728e+00
4.900000000000000000e+01,9.007625000000000171e+01,8.915250000000000341e+01,1.078424318059285403e+00,1.111154024378458560e+00
5.000000000000000000e+01,9.010583333333333655e+01,8.917458333333333087e+01,1.077732244237264103e+00,1.110619272867838569e+00
5.100000000000000000e+01,9.031833333333332803e+01,8.938875000000000171e+01,1.070709064865112303e+00,1.103763438796997010e+00
5.200000000000000000e+01,9.032958333333333201e+01,8.939541666666666231e+01,1.070256906000773167e+00,1.103387740580240806e+00
5.300000000000000000e+01,9.034041666666666970e+01,8.939875000000000682e+01,1.069861389795939033e+00,1.103073769632975321e+00
5.400000000000000000e+01,9.036249999999999716e+01,8.940874999999999773e+01,1.069479166539510029e+00,1.102778975041707410e+00
5.500000000000000000e+01,9.036666666666666003e+01,8.941875000000000284e+01,1.069107335662841773e+00,1.102504568099975657e+00
5.600000000000000000e+01,9.037874999999999659e+01,8.942458333333333087e+01,1.068710264841715496e+00,1.102201399612426691e+00
5.700000000000000000e+01,9.037916666666666288e+01,8.943750000000000000e+01,1.068335961151122948e+00,1.101922494252522755e+00
5.800000000000000000e+01,9.038833333333333542e+01,8.944875000000000398e+01,1.067988111877441471e+00,1.101657536570231022e+00
5.900000000000000000e+01,9.040208333333333712e+01,8.944875000000000398e+01,1.067592272440592405e+00,1.101356623967488568e+00
6.000000000000000000e+01,9.041541666666667254e+01,8.945000000000000284e+01,1.067240229797363327e+00,1.101082529958089085e+00
6.100000000000000000e+01,9.043125000000000568e+01,8.945791666666666231e+01,1.066899963506062754e+00,1.100832901636759509e+00
6.200000000000000000e+01,9.043916666666666515e+01,8.947249999999999659e+01,1.066564725112915113e+00,1.100584101231892875e+00
6.300000000000000000e+01,9.045083333333333542e+01,8.947958333333333769e+01,1.066219431177775068e+00,1.100329731623331808e+00
6.400000000000000000e+01,9.045458333333333201e+01,8.948791666666666345e+01,1.065891229756673164e+00,1.100093539937337273e+00
6.500000000000000000e+01,9.046833333333333371e+01,8.949708333333333599e+01,1.065562553405761781e+00,1.099861163202921599e+00
6.600000000000000000e+01,9.048666666666666458e+01,8.950958333333333883e+01,1.065233399200439468e+00,1.099619259134928306e+00
6.700000000000000000e+01,9.049416666666667197e+01,8.951624999999999943e+01,1.064936844507853086e+00,1.099415363438924098e+00
6.800000000000000000e+01,9.050666666666666060e+01,8.952916666666666856e+01,1.064598900731404729e+00,1.099173501714070689e+00
6.900000000000000000e+01,9.052041666666666231e+01,8.953458333333333030e+01,1.064299486033121855e+00,1.098962633514404263e+00
