# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,3.789037037037036981e+01,3.769907407407407618e+01,2.710045787669994155e+00,2.715166609700520706e+00
2.000000000000000000e+00,4.355333333333333456e+01,4.313333333333333286e+01,2.504992690700954761e+00,2.517097736725983914e+00
3.000000000000000000e+00,4.743314814814814895e+01,4.685444444444444656e+01,2.362709262650101394e+00,2.379538676396122820e+00
4.000000000000000000e+00,5.043370370370370637e+01,4.966814814814814838e+01,2.252647072347005341e+00,2.272139625605830382e+00
5.000000000000000000e+00,5.301500000000000057e+01,5.217518518518518533e+01,2.162905584942853121e+00,2.184047715928819411e+00
6.000000000000000000e+00,5.566148148148148067e+01,5.475574074074074105e+01,2.078956876175491963e+00,2.101108095748336346e+00
7.000000000000000000e+00,5.805388888888889198e+01,5.721722222222221887e+01,2.006192484085647987e+00,2.029153505678530145e+00
8.000000000000000000e+00,5.992425925925925867e+01,5.901944444444444571e+01,1.955764064082393006e+00,1.979936645055700328e+00
9.000000000000000000e+00,6.107351851851851876e+01,6.017055555555555202e+01,1.920963812934027848e+00,1.946984947148075795e+00
1.000000000000000000e+01,6.198351851851851535e+01,6.109592592592592553e+01,1.894741946976273184e+00,1.922644277841073501e+00
1.100000000000000000e+01,6.389648148148148010e+01,6.281944444444444287e+01,1.846787788447627365e+00,1.876050995551215239e+00
1.200000000000000000e+01,6.483537037037037010e+01,6.376537037037036981e+01,1.825406547037760507e+00,1.856064223904079880e+00
1.300000000000000000e+01,6.382629629629629875e+01,6.278740740740740733e+01,1.847660479510272014e+00,1.879747552264178223e+00
1.400000000000000000e+01,5.949296296296296305e+01,5.866259259259259551e+01,1.990010260687933963e+00,2.023641563811125366e+00
1.500000000000000000e+01,6.656907407407408073e+01,6.546814814814814554e+01,1.784789337384259156e+00,1.819191484013310101e+00
1.600000000000000000e+01,6.576370370370369756e+01,6.469759259259259920e+01,1.804577955683955404e+00,1.840120764160156241e+00
1.700000000000000000e+01,6.597555555555555884e+01,6.489481481481480785e+01,1.800153950104889988e+00,1.836754097945601849e+00
1.800000000000000000e+01,6.512925925925925696e+01,6.410148148148148550e+01,1.821981759530526546e+00,1.859592316351996510e+00
1.900000000000000000e+01,6.330907407407407561e+01,6.238537037037036725e+01,1.869956046323423049e+00,1.908141830783420145e+00
2.000000000000000000e+01,5.795296296296296390e+01,5.715518518518518221e+01,2.064863618299696224e+00,2.103649427173755804e+00
2.100000000000000000e+01,6.302111111111111086e+01,6.211166666666666458e+01,1.880468360053168420e+00,1.919668326822916660e+00
2.200000000000000000e+01,5.979055555555555657e+01,5.894148148148148181e+01,1.987146114999276625e+00,2.027468480541088081e+00
2.300000000000000000e+01,5.905833333333333002e+01,5.821759259259259522e+01,2.021095009358723882e+00,2.062041180419921904e+00
2.400000000000000000e+01,5.741370370370370324e+01,5.671925925925926038e+01,2.069981982421874811e+00,2.111417246952763449e+00
2.500000000000000000e+01,5.543777777777777516e+01,5.475740740740740620e+01,2.153855054615162246e+00,2.195922103316695573e+00
2.600000000000000000e+01,6.319518518518518846e+01,6.223296296296296504e+01,1.876196025707103532e+00,1.918674219202112230e+00
2.700000000000000000e+01,5.836222222222222200e+01,5.753796296296296475e+01,2.049481766538266747e+00,2.091700840476707235e+00
2.800000000000000000e+01,5.751481481481481239e+01,5.672944444444444656e+01,2.072738445140697383e+00,2.115730662932219452e+00
2.900000000000000000e+01,5.529907407407407760e+01,5.464000000000000057e+01,2.162728302906177458e+00,2.206298476381654883e+00
3.000000000000000000e+01,4.790685185185185446e+01,4.735111111111110915e+01,2.498432253237123923e+00,2.540970392071759232e+00
