# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,4.358047619047619037e+01,4.304976190476190823e+01,2.534396052478608663e+00,2.550710751778738850e+00
2.000000000000000000e+00,5.334857142857142520e+01,5.234904761904761727e+01,2.223207604399181747e+00,2.250124160911923354e+00
3.000000000000000000e+00,5.866571428571428726e+01,5.748238095238095013e+01,2.038982207961309356e+00,2.072844596935453865e+00
4.000000000000000000e+00,6.251476190476190453e+01,6.100976190476190197e+01,1.920766208031063904e+00,1.959601771472749165e+00
5.000000000000000000e+00,6.588880952380952749e+01,6.434785714285713709e+01,1.819224243745349634e+00,1.862830104282924060e+00
6.000000000000000000e+00,6.851119047619047819e+01,6.693738095238094843e+01,1.738975708589099778e+00,1.787623250906807959e+00
7.000000000000000000e+00,6.960976190476191050e+01,6.792452380952380508e+01,1.700561993698846752e+00,1.754691903831845146e+00
8.000000000000000000e+00,7.048761904761904873e+01,6.858119047619047137e+01,1.671798169235956033e+00,1.731667583065941152e+00
9.000000000000000000e+00,7.074809523809523171e+01,6.876047619047619719e+01,1.658944556245349755e+00,1.724583266775948642e+00
1.000000000000000000e+01,7.029690476190475579e+01,6.829333333333333655e+01,1.667686022367931509e+00,1.739034319196428591e+00
1.100000000000000000e+01,6.977214285714285325e+01,6.781380952380952465e+01,1.680203949846540201e+00,1.757216584414527549e+00
1.200000000000000000e+01,6.703476190476190766e+01,6.518190476190476090e+01,1.772807357642764092e+00,1.854890282621837860e+00
1.300000000000000000e+01,6.461499999999999488e+01,6.288000000000000256e+01,1.856509473528180854e+00,1.943997083972749174e+00
1.400000000000000000e+01,6.040690476190476232e+01,5.891142857142857281e+01,2.029064684477306368e+00,2.121772553362164970e+00
1.500000000000000000e+01,5.559952380952380935e+01,5.439214285714285779e+01,2.258598872302827409e+00,2.356298573521205419e+00
1.600000000000000000e+01,4.762095238095238159e+01,4.675714285714285978e+01,2.722768510800316122e+00,2.825397432745070603e+00
1.700000000000000000e+01,3.642666666666666941e+01,3.590976190476190766e+01,3.968518347749256048e+00,4.074838939267112714e+00
1.800000000000000000e+01,5.828047619047619321e+01,5.674928571428571189e+01,2.122142874872116725e+00,2.229843199521019503e+00
1.900000000000000000e+01,6.703976190476190311e+01,6.516380952380951896e+01,1.787175451078869104e+00,1.891790813918340808e+00
2.000000000000000000e+01,6.786547619047618696e+01,6.582500000000000284e+01,1.773112386648995509e+00,1.883639079647972503e+00
2.100000000000000000e+01,7.556499999999999773e+01,7.282595238095238699e+01,1.533087225341796866e+00,1.645732271902901722e+00
2.200000000000000000e+01,7.477571428571428669e+01,7.200833333333333997e+01,1.556317009916759586e+00,1.672358548409598189e+00
2.300000000000000000e+01,7.383190476190476659e+01,7.110666666666666913e+01,1.585028568376813718e+00,1.704103306070963608e+00
