# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,9.307666666666666799e+01,9.307666666666666799e+01,1.005177911504109733e+00,1.005177921422322651e+00
2.000000000000000000e+00,9.496666666666666856e+01,9.496666666666666856e+01,8.958859509785970232e-01,8.958859448750813304e-01
3.000000000000000000e+00,9.621333333333333826e+01,9.621333333333333826e+01,8.409895203908284156e-01,8.409895207722981603e-01
4.000000000000000000e+00,9.683833333333333826e+01,9.683833333333333826e+01,8.151272585550943806e-01,8.151272572835286390e-01
5.000000000000000000e+00,9.706499999999999773e+01,9.706499999999999773e+01,8.030860604604085351e-01,8.030860650380452492e-01
6.000000000000000000e+00,9.762500000000000000e+01,9.762500000000000000e+01,7.823915763854980554e-01,7.823915758768716922e-01
7.000000000000000000e+00,9.792666666666666231e+01,9.792666666666666231e+01,7.703931990305582511e-01,7.703931927998860507e-01
8.000000000000000000e+00,9.807166666666667254e+01,9.807166666666667254e+01,7.645839031219482385e-01,7.645839069366454632e-01
9.000000000000000000e+00,9.792833333333332746e+01,9.792833333333332746e+01,7.674822891235351108e-01,7.674822911580403417e-01
1.000000000000000000e+01,9.821666666666666856e+01,9.821666666666666856e+01,7.582373064676920515e-01,7.582373032887776976e-01
1.100000000000000000e+01,9.828166666666666629e+01,9.828166666666666629e+01,7.534472499847412186e-01,7.534472492218017292e-01
1.200000000000000000e+01,9.682999999999999829e+01,9.682999999999999829e+01,8.128335688273111703e-01,8.128335629781087146e-01
1.300000000000000000e+01,9.842000000000000171e+01,9.842000000000000171e+01,7.489194307963052966e-01,7.489194361368815001e-01
1.400000000000000000e+01,9.870666666666666345e+01,9.870666666666666345e+01,7.404056784311929817e-01,7.404056744893391384e-01
1.500000000000000000e+01,9.878499999999999659e+01,9.878499999999999659e+01,7.376511913299560463e-01,7.376511899312336862e-01
1.600000000000000000e+01,9.818166666666667197e+01,9.818166666666667197e+01,7.568471916198730165e-01,7.568471934000651213e-01
1.700000000000000000e+01,9.860833333333333428e+01,9.860833333333333428e+01,7.427705396016438533e-01,7.427705476125081585e-01
1.800000000000000000e+01,9.879666666666666686e+01,9.879666666666666686e+01,7.357418568929036118e-01,7.357418594360352060e-01
1.900000000000000000e+01,9.896666666666666856e+01,9.896666666666666856e+01,7.295090627034505060e-01,7.295090656280517338e-01
2.000000000000000000e+01,9.909333333333333371e+01,9.909333333333333371e+01,7.257438957214354947e-01,7.257438976287842181e-01
2.100000000000000000e+01,9.943999999999999773e+01,9.943999999999999773e+01,7.165426063537597701e-01,7.165426085154215086e-01
2.200000000000000000e+01,9.951000000000000512e+01,9.951000000000000512e+01,7.141987970987955237e-01,7.141988037109374687e-01
2.300000000000000000e+01,9.953000000000000114e+01,9.953000000000000114e+01,7.126374516805012993e-01,7.126374485015869453e-01
2.400000000000000000e+01,9.958333333333332860e+01,9.958333333333332860e+01,7.111242703755696892e-01,7.111242757161457817e-01
2.500000000000000000e+01,9.960999999999999943e+01,9.960999999999999943e+01,7.101122661590576479e-01,7.101122690836588758e-01
2.600000000000000000e+01,9.965000000000000568e+01,9.965000000000000568e+01,7.085143376668294746e-01,7.085143343607585020e-01
2.700000000000000000e+01,9.966833333333333655e+01,9.966833333333333655e+01,7.079240365346273212e-01,7.079240364074707026e-01
2.800000000000000000e+01,9.965666666666666629e+01,9.965666666666666629e+01,7.068053723653157094e-01,7.068053699493408448e-01
2.900000000000000000e+01,9.965166666666667084e+01,9.965166666666667084e+01,7.065204924265543474e-01,7.065204959869384460e-01
3.000000000000000000e+01,9.966666666666667140e+01,9.966666666666667140e+01,7.060252970377604020e-01,7.060253013610839901e-01
3.100000000000000000e+01,9.980666666666667197e+01,9.980666666666667197e+01,7.025484575907389173e-01,7.025484499613443568e-01
3.200000000000000000e+01,9.983166666666666345e+01,9.983166666666666345e+01,7.014797185262043877e-01,7.014797242482503359e-01
3.300000000000000000e+01,9.984166666666666856e+01,9.984166666666666856e+01,7.008852378845215059e-01,7.008852345784505333e-01
3.400000000000000000e+01,9.985333333333333883e+01,9.985333333333333883e+01,7.003189758300780721e-01,7.003189739227294597e-01
3.500000000000000000e+01,9.987333333333333485e+01,9.987333333333333485e+01,6.998132372538248269e-01,6.998132373809814455e-01
3.600000000000000000e+01,9.987999999999999545e+01,9.987999999999999545e+01,6.994260252634684205e-01,6.994260222117105741e-01
3.700000000000000000e+01,9.988833333333333542e+01,9.988833333333333542e+01,6.990610861460367920e-01,6.990610857645670473e-01
3.800000000000000000e+01,9.990000000000000568e+01,9.990000000000000568e+01,6.987397298177083771e-01,6.987397342681884727e-01
3.900000000000000000e+01,9.989833333333332632e+01,9.989833333333332632e+01,6.985301570892333833e-01,6.985301595052083590e-01
4.000000000000000000e+01,9.990500000000000114e+01,9.990500000000000114e+01,6.981608768463134496e-01,6.981608768463134496e-01
4.100000000000000000e+01,9.993999999999999773e+01,9.993999999999999773e+01,6.973880962371825643e-01,6.973880975087484169e-01
4.200000000000000000e+01,9.994333333333332803e+01,9.994333333333332803e+01,6.971060057322183701e-01,6.971060100555419581e-01
4.300000000000000000e+01,9.994833333333333769e+01,9.994833333333333769e+01,6.968451348622639596e-01,6.968451342264810888e-01
4.400000000000000000e+01,9.995000000000000284e+01,9.995000000000000284e+01,6.967025792439778265e-01,6.967025810241699313e-01
4.500000000000000000e+01,9.996166666666667311e+01,9.996166666666667311e+01,6.965508569081624302e-01,6.965508590698241687e-01
4.600000000000000000e+01,9.995666666666666345e+01,9.995666666666666345e+01,6.965202954610189012e-01,6.965202930450439256e-01
4.700000000000000000e+01,9.996666666666666856e+01,9.996666666666666856e+01,6.962284955342610271e-01,6.962284966786702611e-01
4.800000000000000000e+01,9.996666666666666856e+01,9.996666666666666856e+01,6.960687857309977300e-01,6.960687852223713667e-01
4.900000000000000000e+01,9.996666666666666856e+01,9.996666666666666856e+01,6.959698621114095429e-01,6.959698619842529244e-01
5.000000000000000000e+01,9.996999999999999886e+01,9.996999999999999886e+01,6.958238953908284508e-01,6.958238964080810662e-01
5.100000000000000000e+01,9.997166666666666401e+01,9.997166666666666401e+01,6.955243951161702576e-01,6.955243956247965098e-01
5.200000000000000000e+01,9.997833333333333883e+01,9.997833333333333883e+01,6.954113838195801200e-01,6.954113844553629908e-01
5.300000000000000000e+01,9.998000000000000398e+01,9.998000000000000398e+01,6.953366860707600461e-01,6.953366818745930766e-01
5.400000000000000000e+01,9.998000000000000398e+01,9.998000000000000398e+01,6.952609466552734929e-01,6.952609420776366678e-01
5.500000000000000000e+01,9.998000000000000398e+01,9.998000000000000398e+01,6.951998580932616800e-01,6.951998597462971663e-01
5.600000000000000000e+01,9.998000000000000398e+01,9.998000000000000398e+01,6.951220492045084853e-01,6.951220525105794579e-01
5.700000000000000000e+01,9.998000000000000398e+01,9.998000000000000398e+01,6.950631085713704360e-01,6.950631104787190484e-01
5.800000000000000000e+01,9.998000000000000398e+01,9.998000000000000398e+01,6.950136740366618104e-01,6.950136765797932936e-01
5.900000000000000000e+01,9.998166666666666913e+01,9.998166666666666913e+01,6.949440650939940900e-01,6.949440587361653821e-01
6.000000000000000000e+01,9.998166666666666913e+01,9.998166666666666913e+01,6.949325412750244624e-01,6.949325393676757390e-01
6.100000000000000000e+01,9.998499999999999943e+01,9.998499999999999943e+01,6.947787616729735882e-01,6.947787583669026157e-01
6.200000000000000000e+01,9.998833333333332973e+01,9.998833333333332973e+01,6.947390680948892783e-01,6.947390731811523557e-01
6.300000000000000000e+01,9.998833333333332973e+01,9.998833333333332973e+01,6.947086245218913048e-01,6.947086256663004278e-01
6.400000000000000000e+01,9.998666666666666458e+01,9.998666666666666458e+01,6.946765790303548460e-01,6.946765803019205876e-01
6.500000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.946472646077473945e-01,6.946472662607828807e-01
6.600000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.946195818583170700e-01,6.946195852915445501e-01
6.700000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.945953202565511297e-01,6.945953170776366647e-01
6.800000000000000000e+01,9.998999999999999488e+01,9.998999999999999488e+01,6.945703542073567993e-01,6.945703524271646945e-01
6.900000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.945418162027995335e-01,6.945418155670165516e-01
7.000000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.945215653737386585e-01,6.945215722401937297e-01
7.100000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.944615151723225743e-01,6.944615131378173434e-01
7.200000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.944433443705241293e-01,6.944433513641357081e-01
7.300000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.944326923370360838e-01,6.944326936086019364e-01
7.400000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.944197177886962669e-01,6.944197221120198549e-01
7.500000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.944023134867349789e-01,6.944023137410482160e-01
7.600000000000000000e+01,9.998999999999999488e+01,9.998999999999999488e+01,6.943908847808838436e-01,6.943908808390300003e-01
7.700000000000000000e+01,9.998999999999999488e+01,9.998999999999999488e+01,6.943784170786539978e-01,6.943784164428711270e-01
7.800000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.943587333679198670e-01,6.943587309519450024e-01
7.900000000000000000e+01,9.998999999999999488e+01,9.998999999999999488e+01,6.943516607920329209e-01,6.943516600290934315e-01
8.000000000000000000e+01,9.998999999999999488e+01,9.998999999999999488e+01,6.943407975514729324e-01,6.943407990773519112e-01
8.100000000000000000e+01,9.998999999999999488e+01,9.998999999999999488e+01,6.943280459086100809e-01,6.943280408223470035e-01
8.200000000000000000e+01,9.998999999999999488e+01,9.998999999999999488e+01,6.943215028127034394e-01,6.943214970906576022e-01
8.300000000000000000e+01,9.998999999999999488e+01,9.998999999999999488e+01,6.943163916269937674e-01,6.943163884480794135e-01
8.400000000000000000e+01,9.998999999999999488e+01,9.998999999999999488e+01,6.943107696533202811e-01,6.943107728322347461e-01
8.500000000000000000e+01,9.998999999999999488e+01,9.998999999999999488e+01,6.943012738545735196e-01,6.943012789408365970e-01
8.600000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.942962055206298722e-01,6.942962029774983890e-01
8.700000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.942888524373372894e-01,6.942888493855794430e-01
8.800000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.942868501027424921e-01,6.942868539174398279e-01
8.900000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.942765093485514516e-01,6.942765089670817069e-01
9.000000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.942726786295573271e-01,6.942726823170979333e-01
9.100000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.942708765665690507e-01,6.942708766937255582e-01
9.200000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.942682048797607086e-01,6.942681981404622560e-01
9.300000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.942651718139648542e-01,6.942651715596517281e-01
9.400000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.942619160970051606e-01,6.942619220733642349e-01
9.500000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.942584709167480828e-01,6.942584711710612089e-01
9.600000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.942561921437581107e-01,6.942561884562173935e-01
9.700000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.942527187347412587e-01,6.942527201334635079e-01
9.800000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.942508369445801186e-01,6.942508330027262753e-01
9.900000000000000000e+01,9.999166666666666003e+01,9.999166666666666003e+01,6.942467703501383758e-01,6.942467707316081205e-01
1.000000000000000000e+02,9.999166666666666003e+01,9.999166666666666003e+01,6.942433809916178644e-01,6.942433839162190923e-01
