# epoch,train_acc,test_acc,train_loss,test_loss
1.000000000000000000e+00,6.106900000000000261e+01,6.073566666666666691e+01,1.970536191813150984e+00,1.981077896118164094e+00
2.000000000000000000e+00,6.972599999999999909e+01,6.915633333333333610e+01,1.694152658691406188e+00,1.709001646931966212e+00
3.000000000000000000e+00,7.442366666666666219e+01,7.389600000000000080e+01,1.545987569173177034e+00,1.564592057291666727e+00
4.000000000000000000e+00,7.821066666666666833e+01,7.752266666666666595e+01,1.436335433349609447e+00,1.458311618245442753e+00
5.000000000000000000e+00,8.097400000000000375e+01,8.021999999999999886e+01,1.355006473592122340e+00,1.380884659627278577e+00
6.000000000000000000e+00,8.287733333333333974e+01,8.202400000000000091e+01,1.296805695800781200e+00,1.325889304199218799e+00
7.000000000000000000e+00,8.445366666666666333e+01,8.351399999999999579e+01,1.247943220214843718e+00,1.280082337646484270e+00
8.000000000000000000e+00,8.561599999999999966e+01,8.459933333333333394e+01,1.211528044026692674e+00,1.246538446248372400e+00
9.000000000000000000e+00,8.652633333333332644e+01,8.548866666666665992e+01,1.180888908386230396e+00,1.218657222290039144e+00
1.000000000000000000e+01,8.716233333333333633e+01,8.610433333333332939e+01,1.159002523396809980e+00,1.199629627482096339e+00
1.100000000000000000e+01,8.776900000000000546e+01,8.667533333333332735e+01,1.138057682698567774e+00,1.181025255533854068e+00
1.200000000000000000e+01,8.827366666666667072e+01,8.704966666666666697e+01,1.121522459716796982e+00,1.167181599934895786e+00
1.300000000000000000e+01,8.870799999999999841e+01,8.746599999999999397e+01,1.106585634155273334e+00,1.154255738932291608e+00
1.400000000000000000e+01,8.904633333333333667e+01,8.776099999999999568e+01,1.094691096903483096e+00,1.144841657307942739e+00
1.500000000000000000e+01,8.934000000000000341e+01,8.797866666666666902e+01,1.084385316162109314e+00,1.136991806640625047e+00
1.600000000000000000e+01,8.961433333333333451e+01,8.821233333333333348e+01,1.074547021891276044e+00,1.129854307861328122e+00
1.700000000000000000e+01,8.989600000000000080e+01,8.841566666666666663e+01,1.065120901692708344e+00,1.123105174357096336e+00
1.800000000000000000e+01,9.002366666666667072e+01,8.851433333333334019e+01,1.059256818847656323e+00,1.119814099121093642e+00
1.900000000000000000e+01,9.017266666666667163e+01,8.857866666666666333e+01,1.053705748901367256e+00,1.116438034871419349e+00
2.000000000000000000e+01,9.033100000000000307e+01,8.872766666666666424e+01,1.046710020345052117e+00,1.112075573120117289e+00
2.100000000000000000e+01,9.137233333333333007e+01,8.961666666666666003e+01,1.014676440531412815e+00,1.082260877278645728e+00
2.200000000000000000e+01,9.148900000000000432e+01,8.969566666666666777e+01,1.010258583374023411e+00,1.079078436075846303e+00
2.300000000000000000e+01,9.159999999999999432e+01,8.975266666666666993e+01,1.006209171346028608e+00,1.076487129720052005e+00
2.400000000000000000e+01,9.169266666666666765e+01,8.979000000000000625e+01,1.002556655069986924e+00,1.074433019612630158e+00
2.500000000000000000e+01,9.179399999999999693e+01,8.988299999999999557e+01,9.993743182373047151e-01,1.072607250773111920e+00
2.600000000000000000e+01,9.187199999999999989e+01,8.993099999999999739e+01,9.962230598958333738e-01,1.070739373575846365e+00
2.700000000000000000e+01,9.195833333333332860e+01,8.999133333333332985e+01,9.931349971516927333e-01,1.068921756998697958e+00
2.800000000000000000e+01,9.202899999999999636e+01,9.004933333333333678e+01,9.901284289550781326e-01,1.067143188273111942e+00
2.900000000000000000e+01,9.209799999999999898e+01,9.010566666666666436e+01,9.870899870808919063e-01,1.065233559773762995e+00
3.000000000000000000e+01,9.218333333333333712e+01,9.018666666666666742e+01,9.837404289754231312e-01,1.062978946126302171e+00
3.100000000000000000e+01,9.270866666666667300e+01,9.059366666666666390e+01,9.700949139404296817e-01,1.049630150349934787e+00
3.200000000000000000e+01,9.276433333333334019e+01,9.064866666666667072e+01,9.679009220377604583e-01,1.048204764200846295e+00
3.300000000000000000e+01,9.280700000000000216e+01,9.068866666666666276e+01,9.660574027506509953e-01,1.047155819091796891e+00
3.400000000000000000e+01,9.286666666666666003e+01,9.071699999999999875e+01,9.643039988199869628e-01,1.046161431070963488e+00
3.500000000000000000e+01,9.290866666666666163e+01,9.074833333333333485e+01,9.626423469034830482e-01,1.045177030843098986e+00
3.600000000000000000e+01,9.294433333333333280e+01,9.076833333333333087e+01,9.610711286417643606e-01,1.044368835856119837e+00
3.700000000000000000e+01,9.299166666666666003e+01,9.078933333333333167e+01,9.595632565307616879e-01,1.043582432657877535e+00
3.800000000000000000e+01,9.303433333333333621e+01,9.081799999999999784e+01,9.579278795369465804e-01,1.042745088094075623e+00
3.900000000000000000e+01,9.308766666666666367e+01,9.085066666666666890e+01,9.563618071492513417e-01,1.041880539550781304e+00
4.000000000000000000e+01,9.311299999999999955e+01,9.086366666666665992e+01,9.549966341145833537e-01,1.041239585367838449e+00
4.100000000000000000e+01,9.329999999999999716e+01,9.102233333333333576e+01,9.498462849934895535e-01,1.036937407023111879e+00
4.200000000000000000e+01,9.333299999999999841e+01,9.103333333333333144e+01,9.488300509643554648e-01,1.036356093139648493e+00
4.300000000000000000e+01,9.334933333333333394e+01,9.104999999999999716e+01,9.479441189575195104e-01,1.035948628540038996e+00
4.400000000000000000e+01,9.336666666666666003e+01,9.105566666666666720e+01,9.471413221232096724e-01,1.035614722290039147e+00
4.500000000000000000e+01,9.338666666666667027e+01,9.106233333333332780e+01,9.463101609293619321e-01,1.035224706827799546e+00
4.600000000000000000e+01,9.340633333333333610e+01,9.108033333333332848e+01,9.455436952718099253e-01,1.034905760701497313e+00
4.700000000000000000e+01,9.342666666666666231e+01,9.109366666666666390e+01,9.447408438110351803e-01,1.034554133300781276e+00
4.800000000000000000e+01,9.345266666666667277e+01,9.109533333333332905e+01,9.439471183268228760e-01,1.034192783813476568e+00
4.900000000000000000e+01,9.347066666666667345e+01,9.110733333333332951e+01,9.432556658935546956e-01,1.033923647054036499e+00
5.000000000000000000e+01,9.349466666666666015e+01,9.112199999999999989e+01,9.424776151529947743e-01,1.033581646728515713e+00
5.100000000000000000e+01,9.353333333333333144e+01,9.113500000000000512e+01,9.407660936482747926e-01,1.032404887695312468e+00
